RA_ITEMID,SEQ_NUMBER,PARCEL,FACEVALUE,PREMIUM
2971172,230001,1971-28-3-00-058,9358.22,
2971173,230003,1971-28-3-02-058,2119.09,
2971174,230004,1971-28-3-02-073,1041.06,
2971175,230006,1971-28-3-04-027,2355.79,
2971176,230007,1971-32-3-01-012,1835.32,
2971177,230008,1971-32-3-02-013,1007.35,
2971178,230011,1971-32-3-06-004,5820.93,
2971179,230012,1971-32-4-01-030,26525.71,
2971180,230014,1971-32-4-01-033,7251.16,
2971181,230015,1971-32-4-03-006,1969.41,
2971182,230016,1971-32-4-03-070,1171.06,
2971183,230017,1971-32-4-04-009,3247.45,
2971184,230018,1971-32-4-04-019,728.25,
2971185,230019,1971-32-4-04-020,1792.08,
2971186,230020,1971-32-4-04-025,728.25,
2971187,230021,1971-32-4-05-018,43764.67,
2971188,230022,1971-32-4-09-002,1277.9,
2971189,230023,1971-32-4-10-001,3880.38,
2971190,230024,1971-32-4-10-017,1809.92,
2971191,230025,1971-32-4-13-012,2087.79,
2971192,230027,1971-33-2-01-002,26376.78,
2971193,230028,1971-33-2-01-003,2283.24,
2971194,230029,1971-33-2-01-016,80822.62,
2971195,230033,1971-33-3-02-005,9925.54,
2971196,230034,1971-33-3-02-006,6628.54,
2971197,230035,1971-33-3-02-010,5534.37,
2971198,230037,1971-34-1-08-018,2042.21,
2971199,230038,1971-34-1-09-013,8951.48,
2971200,230039,1971-34-1-09-015,1854.75,
2971201,230040,1971-34-1-14-013,2341.76,
2971202,230042,1971-34-1-19-004,2079.05,
2971203,230043,1971-34-1-21-009,2521.04,
2971204,230045,1971-34-1-33-013,2053.55,
2971205,230046,1971-34-2-08-008,1540.06,
2971206,230047,1971-34-2-08-009,1805.5,
2971207,230048,1971-34-2-11-011,2066.49,
2971208,230050,1971-34-3-01-009,2021.61,
2971209,230051,1971-34-3-02-022,2326.01,
2971210,230052,1971-34-3-09-002,1973.38,
2971211,230053,1971-34-3-10-012,2036.21,
2971212,230054,1971-34-4-01-013,2502.21,
2971213,230055,1971-34-4-03-021,2045.44,
2971214,230056,1971-34-4-08-013,1922.48,
2971215,230058,1971-34-4-18-018,1848.22,
2971216,230059,1971-34-4-23-003,9019.3,
2971217,230060,1971-34-4-26-009,4632.43,
2971218,230061,1971-34-4-27-007,1665.7,
2971219,230062,1971-34-4-27-025,6009.03,
2971220,230063,1971-35-2-00-005,979.14,
2971221,230064,1971-35-2-02-009,1489.42,
2971222,230066,1971-35-3-06-024,2211.15,
2971223,230067,1971-35-3-14-012,2687.34,
2971224,230070,1971-35-4-13-014,1756.22,
2971225,230071,1971-35-4-17-020,3040.23,
2971226,230072,1971-36-3-02-006,20554.59,
2971227,230074,1973-01-1-14-028,2529.94,
