ADV_AMT,ADV_NUM,FOLIO1,USER_ID,WINNING_BID
1606.06,00002,10002090,2868,4.00
1964.92,00003,10006008,2868,4.00
898.45,00004,10012018,2868,7.00
770.27,00007,10038011,3286,6.00
842.55,00008,10111002,2868,4.00
361.61,00009,10116010,3446,0.00
576.30,00010,10116011,3446,0.00
78.91,00011,10129070B,2868,16.00
438.03,00012,10205004H,2868,7.00
864.49,00013,10208087,2868,4.00
2708.56,00014,10302006,2437,6.00
97.92,00015,10302025,2805,0.00
2352.08,00018,10309004A,2437,6.00
864.21,00020,10312005,2868,6.00
748.61,00021,10312006,2868,6.00
1034.38,00022,10315011,2740,5.00
563.51,00023,10328127,3570,6.00
1441.73,00024,10401054,2868,7.00
640.36,00025,10402077,3508,7.00
1389.46,00026,10410006,3373,6.00
979.00,00028,10410090,3508,7.00
4644.55,00029,10415004,2437,6.00
836.19,00031,10506083,3288,4.00
648.28,00034,10515028,2437,6.00
995.72,00035,10517006,2892,2.00
619.25,00037,10606002M,3479,3.00
522.55,00038,10607001R,3464,6.00
596.61,00039,10702003A,3508,7.00
2689.65,00041,10703064A,3508,7.00
406.19,00042,10703068,3518,7.00
1093.66,00043,10703076,3508,7.00
6667.97,00044,10703077A,3373,6.00
1318.78,00045,10703080,2356,8.00
5319.66,00046,10704004,3373,6.00
551.45,00050,10706003,3479,0.00
343.54,00051,10706038,3325,0.00
1451.43,00056,10717139,3288,0.00
7497.20,00057,10732001,2437,6.00
4205.88,00058,10732002,2437,6.00
8423.82,00059,10732003,2437,6.00
53.11,00060,10736033,3480,4.00
1508.88,00061,10740012,3506,3.00
622.38,00062,10803082,2328,4.00
701.61,00063,10803183,2892,4.00
1654.77,00064,10804037,3373,6.00
1407.68,00068,10824034,3508,7.00
375.40,00070,10908188,3464,6.00
10810.67,00071,10909104A,3311,7.00
656.35,00072,10917010,3508,7.00
811.09,00073,11005062,3316,4.00
1656.97,00074,11005078,530,5.00
1335.23,00077,11012011P,3473,5.00
848.16,00078,11110056,3591,3.00
498.90,00080,11116042A,3570,6.00
1633.06,00082,11210028,3303,0.00
2234.20,00083,11211063,3325,0.00
425.65,00084,11226001,3464,2.00
1194.10,00086,11258107,3531,3.00
918.91,00087,11259022,3288,0.00
767.74,00092,11302007B,3561,8.00
305.92,00093,11316004,3303,7.00
425.18,00094,11318016,3561,9.00
427.70,00097,11320035,3561,9.00
517.38,00098,11320066,3561,8.00
431.79,00099,11320135,3561,9.00
1084.31,00100,11336037,530,5.00
2565.07,00104,11342075,2356,9.00
1278.16,00106,11351052,3373,6.00
440.76,00108,11357027,3561,9.00
741.02,00109,11380004,3325,0.00
380.08,00110,11380043,3303,7.00
107.39,00111,11380124,3561,11.00
57.75,00112,11380126,3303,0.00
54.69,00116,11380130,3524,7.00
54.69,00117,11380131,3524,7.00
54.69,00119,11380133,3561,16.00
54.69,00120,11380134,3561,16.00
54.69,00121,11380135,3561,16.00
54.69,00122,11380136,3561,16.00
54.69,00124,11380138,3561,16.00
54.69,00125,11380139,3561,16.00
54.69,00126,11380141,3561,16.00
150.18,00127,11380142,3561,9.00
1830.20,00129,11417016,3288,0.00
