AdvNum,Parcel,Face Amount
000010,10129052,974.45
000043,R0353619,1299.42
000067,10804147A,1032.94
000085,11116042A,12351.44
000092,11249122J,744.96
000120,11507259,2014.57
000182,20206038,2345.31
000186,20224006T,550.6
000187,20224010D,4768.94
000258,20508035,846.94
000263,20509014,2176.87
000265,20509025,673.94
000266,20509029,676.65
000267,20509030,676.65
000268,20509032,1330.69
000269,20509040,954.68
000270,20509041,954.68
000271,20509042,751.61
000272,20509044,135.31
000274,20509052,681.7
000275,20509063,1039.05
000276,20509064,676.65
000277,20509069,707.38
000285,20518006B,1684.28
000312,20604046,2452.04
000324,20610036,1480.42
000330,20611026,81.53
000331,20611029,81.53
000332,20611030,81.53
000333,20611046,1373.04
000335,20612047,2522.75
000381,20636011,2513.33
000382,20636018,1277.33
000402,20653012,81.53
000403,20653029,305.91
000404,20653041,1147.88
000405,20653042,801.49
000406,20653053,269.76
000407,20654010,305.91
000409,20654048,81.53
000410,20655010,81.53
000415,20656039,81.53
000416,20656046,81.53
000417,20656051,81.53
000418,20656054,81.53
000438,30055026,7448.79
000508,30221002E,1741.05
000538,40040033,7003.37
000542,40048023,214.38
000570,40107001F,185.64
000573,40114134,112.21
000580,40133028,1060.19
000581,40133029Z,314.32
000637,40608007B,2862.2
000648,40668005A,567.1
000653,40677053,844.22
000654,40677084,401.85
000657,40677095,401.85
000658,40677099,401.85
000659,40678035,210.18
000660,40678036,210.18
000661,40678047,362.3
000662,40678055,402.61
000674,50007058,50.99
000677,50007110,50.99
000678,50007111,50.99
000679,50007122,50.99
000681,50007134,50.99
000683,50008016,50.99
000686,50008052,50.99
000690,50009035,50.99
000691,50009036,50.99
000694,50010085,50.99
000695,50010090,50.99
000696,50011035,50.99
000706,50019001,1559.66
000708,50020014,1559.66
000710,50020029,1763.34
000715,50025004,1763.34
000716,50025012,867
000738,50107040,61.93
000739,50107041,61.93
000741,50107068,61.93
000742,50107073,35.49
000751,50108064,544.21
000756,50108125,9641.61
000758,50108143,597.24
000766,50110026,61.93
000767,50110039,1721.48
000768,50110040,2168.92
000770,50110072,61.93
000772,50110098,662.65
000774,50110127,1427.74
000775,50110136,1503.17
000779,50111033,1731.26
000780,50111048,61.93
000781,50111087,61.93
000782,50111103,61.93
000783,50113020,203.54
000784,50113041,61.93
000787,50113049,61.93
000788,50113059,61.93
000793,50113155,61.93
000795,50114086,61.93
000796,50118007,61.93
000797,50118008,40.31
000798,50118009,61.93
000799,50118068,61.93
000800,50118098,456.57
000801,50119023,2396.99
000802,50119029,1369.3
