RA_ITEMID,ADVNUM,PARCEL,FACEVALUE,BID
3072470,000002,10025008,2841.39,
3072471,000003,10027012,92.83,
3072472,000004,10038007A,1752.21,
3072473,000005,10102019,1427.34,
3072474,000006,10105012,216.81,
3072475,000007,10108002,69.89,
3072476,000008,10115001,3744.6,
3072477,000009,10129016,3148.6,
3072478,000010,10130040E,2776.5,
3072479,000011,10130040F,1922.28,
3072480,000012,10302004,3273.53,
3072481,000013,10309004A,4425.46,
3072482,000014,10315011,5921.51,
3072483,000015,10320071,2769.78,
3072484,000016,10324008C,5009.8,
3072485,000017,10402070,1545.56,
3072486,000018,10402071,1545.56,
3072487,000019,10402077,7180.22,
3072488,000020,10404008A,150041.74,
3072489,000021,10404009C,855.37,
3072491,000023,10407001C,36635.19,
3072492,000024,10407005M,1345.37,
3072493,000025,10408003,1286.5,
3072494,000026,10410021,291.8,
3072495,000027,10410044B,3499.43,
3072496,000028,10410057,1847.61,
3072498,000030,10502082B,59.78,
3072499,000031,10502083,59.78,
3072500,000032,10510082,18818.39,
3072501,000033,10510085,98.94,
3072502,000034,10511047,467.27,
3072503,000035,10512001S,1797.48,
3072504,000036,10513037,397.86,
3072505,000037,10517034B,58.55,
3072507,000039,10520041,1741.3,
3072508,000040,10522071,2126.87,
3072509,000041,10606002J,606.56,
3072510,000042,10607001V,1157.75,
3072512,000044,10702056,78.35,
3072513,000045,10703042,1135.77,
3072516,000048,10705125B,289.28,
3072517,000049,10705147,1446.83,
3072524,000056,10710001G,7017.71,
3072532,000064,10714006,835.13,
3072535,000067,10738146,63.86,
3072536,000068,10803030,1791.47,
3072537,000069,10803092,1915.84,
3072538,000070,10803094,1764.36,
3072539,000071,10804049,919.14,
3072540,000072,10804147A,1224.65,
3072541,000073,10809091,1636.47,
3072542,000074,10811110,1765.89,
3072543,000075,10814140,1078.61,
3072544,000076,10824048,1424.09,
3072545,000077,10833057,191.24,
3072546,000078,10905067,1037.39,
3072548,000080,10907007G,58.55,
3072549,000081,10909020,76.14,
3072550,000082,11004078A,2569.02,
3072551,000083,11005034,2520.63,
3072552,000084,11012018B,4831.45,
3072553,000085,11109063,1093.54,
3072554,000086,11113004,74.36,
3072557,000089,11211014C,966.44,
3072558,000090,11229002B,9385.51,
3072560,000092,11249122B,58.55,
3072561,000093,11251148,3396.24,
3072562,000094,11254143,1397.5,
3072563,000095,11263001,1523.1,
3072564,000096,11265038,118.53,
3072565,000097,11302007B,951.2,
3072567,000099,11308032,1244.58,
3072568,000100,11309014,1167.98,
3072569,000101,11309015,1175.17,
3072570,000102,11317007D,2535.89,
3072571,000103,11320029,948.24,
3072572,000104,11320051,599.85,
3072573,000105,11320055,120.35,
3072574,000106,11320103,599.26,
3072575,000107,11320163,760.38,
3072576,000108,11323013,1141.92,
3072577,000109,11326003T,2918.41,
3072578,000110,11327029E,288.05,
3072581,000113,11342060,1252.52,
3072582,000114,11342066,1017.15,
3072583,000115,11380035,1298.52,
3072584,000116,11380036,5132.28,
3072585,000117,11404005D,73.81,
3072586,000118,11405015,647.21,
3072587,000119,11406005,798.15,
3072588,000120,11406006,901.18,
3072589,000121,11502004A,2155.28,
3072590,000122,11504030B,3169.13,
3072591,000123,11506008B,15167.29,
3072592,000124,11507088,1911.98,
3072593,000125,11507259,185.07,
3072594,000126,11507260,92.01,
3072595,000127,11507273,92.01,
3072596,000128,11508207C,73.81,
3072597,000129,11605025,5027.92,
3072598,000130,11608005A,2160.39,
3072599,000131,11610039,2983.79,
3072600,000132,11616101,57.08,
3072601,000133,11619008B,57.11,
3072602,000134,11621076,2482.9,
3072603,000135,11622004,977.96,
3072604,000136,11625155,722.14,
3072605,000137,11628002,1219.88,
3072606,000138,11628047,106.48,
3072607,000139,11629046,730.78,
3072608,000140,11632033,60.02,
3072611,000143,11636003,9263.33,
3072612,000144,11644022,16319.69,
3072613,000145,11647015,5697.48,
3072614,000146,11653037,360.51,
3072615,000147,11657002,17182.83,
3072616,000148,11658303,65.13,
3072617,000149,11659006,7119.51,
3072618,000150,11661005B,629.38,
3072619,000151,11663008,470.58,
3072621,000153,11718033,292.19,
3072622,000154,11722024,300.29,
3072623,000155,11723019,1922.76,
3072624,000156,11729069,1920.93,
3072625,000157,11734015,2645.31,
3072626,000158,11738007,1194.13,
3072627,000159,11739019,1553.9,
3072628,000160,11740037,1275.28,
3072629,000161,20002037A,4706.23,
3072630,000162,20003034,647.73,
3072632,000164,20004011,699.68,
3072633,000165,20004015B,1932.38,
3072634,000166,20004026,71.98,
3072635,000167,20005003,2093.45,
3072636,000168,20007003A,4833.95,
3072637,000169,20007013,4494.18,
3072639,000171,20105008,816.48,
3072641,000173,20108004,3782.6,
3072642,000174,20120016,73.96,
3072643,000175,20127017,483.62,
3072644,000176,20127020,4822.44,
3072645,000177,20128010,317.67,
3072646,000178,20131012,89.66,
3072647,000179,20132019,181.59,
3072648,000180,20133023,3002.51,
3072649,000181,20136014,680.31,
3072650,000182,20140004,1106.7,
3072651,000183,20140034,637.45,
3072652,000184,20202073B,546.69,
3072653,000185,20202074,4435.12,
3072654,000186,20204099,165.2,
3072655,000187,20206025,1844.34,
3072656,000188,20206038,2653.97,
3072657,000189,20206044C,684.65,
3072658,000190,20210080,474.14,
3072659,000191,20213004C,431.59,
3072660,000192,20215044,334.7,
3072661,000193,20216004C,584.29,
3072662,000194,20216084,185.63,
3072663,000195,20216156,617.73,
3072664,000196,20218002B,2221.89,
3072665,000197,20218002F,767.05,
3072666,000198,20219001P,1158.25,
3072667,000199,20219001Y,1967.33,
3072668,000200,20219005,1899.5,
3072669,000201,20219006,2048.84,
3072670,000202,20224013D,456.42,
3072671,000203,20224018,331.16,
3072672,000204,20224021,331.16,
3072673,000205,20224026,331.16,
3072674,000206,20224027,331.16,
3072675,000207,20224032,331.16,
3072676,000208,20224033,331.16,
3072677,000209,20224034,331.16,
3072678,000210,20224035,331.16,
3072679,000211,20224036,331.16,
3072680,000212,20224038,331.16,
3072681,000213,20224039,331.16,
3072682,000214,20224040,331.16,
3072683,000215,20224041,331.16,
3072684,000216,20224042,331.16,
3072685,000217,20224043,331.16,
3072686,000218,20224044,331.16,
3072687,000219,20224051,331.16,
3072688,000220,20224055,67.35,
3072689,000221,20224056,67.35,
3072690,000222,20234010,837.3,
3072691,000223,20234013,837.3,
3072692,000224,20236023,594.43,
3072693,000225,20237010,190.4,
3072694,000226,20237037,159.32,
3072695,000227,20237077,176.14,
3072696,000228,20241008,212.13,
3072697,000229,20243058,201.91,
3072698,000230,20244035,57.99,
3072699,000231,20245022,159.32,
3072700,000232,20246014,213.53,
3072701,000233,20246024,213.53,
3072702,000234,20247021,159.32,
3072703,000235,20249045,1003.65,
3072704,000236,20251001,213.53,
3072705,000237,20251019,213.53,
3072706,000238,20252001,213.53,
3072707,000239,20252002,213.53,
3072708,000240,20252023,213.53,
3072709,000241,20255006,60.14,
3072710,000242,20255034,1168.17,
3072711,000243,20255044,1254.19,
3072712,000244,20257029,433.57,
3072713,000245,20258005,726.1,
3072714,000246,20258014,1983.12,
3072715,000247,20261007,501.88,
3072716,000248,20261008,482.83,
3072717,000249,20263032E,774.8,
3072718,000250,20263032S,480.94,
3072719,000251,20267001E,186.6,
3072720,000252,20268016,1528.88,
3072721,000253,20268037,2235.78,
3072722,000254,20270165,767.52,
3072723,000255,20270353,67.7,
3072724,000256,20270355,67.21,
3072725,000257,20270356,67.21,
3072726,000258,20272061,325.92,
3072728,000260,20275021,211.47,
3072729,000261,20322011,56.93,
3072730,000262,20323002J,2164.32,
3072731,000263,20325012,813.13,
3072732,000264,20326017,730.19,
3072733,000265,20326025A,254.45,
3072734,000266,20336009,909.92,
3072735,000267,20344025,605.78,
3072736,000268,20347001Z,2313.23,
3072737,000269,20347027,1727.23,
3072738,000270,20347038,320.58,
3072739,000271,20350037C,609.35,
3072740,000272,20350061,1255.9,
3072741,000273,20351001D,2627.04,
3072742,000274,20351084,1949.26,
3072744,000276,20354012,2980.6,
3072745,000277,20403001P,9603.8,
3072746,000278,20431001G,1098.44,
3072747,000279,20437014,80.35,
3072748,000280,20437044,596.87,
3072749,000281,20437055,51.15,
3072750,000282,20437056,312.43,
3072751,000283,20507016B,103.07,
3072752,000284,20508008,826.97,
3072753,000285,20508017,2005.68,
3072754,000286,20508019,1969.68,
3072755,000287,20508030,1969.68,
3072756,000288,20509003,126.78,
3072757,000289,20509014,2533.98,
3072758,000290,20509024,72.93,
3072759,000291,20509025,839.6,
3072760,000292,20509026,72.93,
3072761,000293,20509029,842.67,
3072762,000294,20509030,842.67,
3072763,000295,20509032,1538.74,
3072764,000296,20509040,1113.85,
3072765,000297,20509042,893.61,
3072766,000298,20509044,229.79,
3072767,000299,20509052,829.41,
3072768,000300,20509057,770.1,
3072769,000301,20509063,1255.06,
3072770,000302,20509064,842.67,
3072771,000303,20509069,854.61,
3072772,000304,20510002G,149.58,
3072773,000305,20510004,251.35,
3072774,000306,20510013,150.56,
3072775,000307,20518006B,1897.45,
3072776,000308,20520011B,666.78,
3072777,000309,20520032,231.7,
3072778,000310,20523017,208.68,
3072779,000311,20523036,247.25,
3072780,000312,20524007A,149.83,
3072781,000313,20524007B,149.83,
3072782,000314,20527004,65.17,
3072783,000315,20529011,390,
3072784,000316,20534007B,266.08,
3072785,000317,20535006,783.58,
3072786,000318,20535051,391.56,
3072787,000319,20535121,212.65,
3072788,000320,20536014,390,
3072789,000321,20536033,63.47,
3072790,000322,20536044,390.76,
3072791,000323,20536079,455.18,
3072792,000324,20536092,390.38,
3072793,000325,20602005,172,
3072794,000326,20602019,91.89,
3072795,000327,20603015,91.89,
3072796,000328,20603022,172.72,
3072797,000329,20603023,172.72,
3072798,000330,20603069,172,
3072799,000331,20604003,78.27,
3072800,000332,20604046,760.2,
3072801,000333,20604048,744.36,
3072802,000334,20605027,174.86,
3072803,000335,20605037,91.89,
3072804,000336,20605045,744.36,
3072805,000337,20605046,744.36,
3072806,000338,20606001,91.89,
3072807,000339,20606011,91.89,
3072808,000340,20606013,91.89,
3072809,000341,20606018,173.43,
3072810,000342,20606020,91.89,
3072811,000343,20606021,91.89,
3072812,000344,20606035A,81.98,
3072813,000345,20606038,91.89,
3072814,000346,20606055,91.89,
3072815,000347,20606059,172.72,
3072816,000348,20606061,912.12,
3072817,000349,20607013,91.89,
3072818,000350,20607021,91.89,
3072819,000351,20607033,294.41,
3072820,000352,20607064,91.89,
3072821,000353,20608027,174.86,
3072822,000354,20608041,294.41,
3072823,000355,20608052,91.89,
3072824,000356,20608062,912.12,
3072825,000357,20609016,294.41,
3072826,000358,20609035,915.37,
3072827,000359,20609041,83.7,
3072828,000360,20610031,174.86,
3072829,000361,20610036,1700.6,
3072830,000362,20610046,174.15,
3072831,000363,20610048,91.89,
3072832,000364,20611005,293.99,
3072833,000365,20611026,186.47,
3072834,000366,20611045,237.43,
3072835,000367,20611046,1607.37,
3072836,000368,20612028,91.89,
3072837,000369,20612033,91.89,
3072838,000370,20612037,3718.23,
3072839,000371,20612048,91.89,
3072840,000372,20613002D,301.28,
3072841,000373,20614012M,247.61,
3072842,000374,20614013G,294.72,
3072843,000375,20616018B,123.76,
3072844,000376,20616025,212.91,
3072845,000377,20616026A,100.16,
3072846,000378,20617019,304.4,
3072847,000379,20617021,437.98,
3072848,000380,20617029,311.39,
3072849,000381,20618027B,2265.79,
3072850,000382,20618033D,210.47,
3072851,000383,20619027,313.33,
3072852,000384,20620019,134.47,
3072853,000385,20620019A,404.32,
3072855,000387,20621021,75.16,
3072856,000388,20623003,697.13,
3072859,000391,20624014A,500.91,
3072860,000392,20624041,186.55,
3072861,000393,20625013,193.24,
3072862,000394,20625024,57.18,
3072863,000395,20625025,471.7,
3072864,000396,20625031,333.16,
3072865,000397,20625034,350.77,
3072866,000398,20625036,168.76,
3072867,000399,20625041,185.83,
3072868,000400,20626011,265.6,
3072869,000401,20626024,204.94,
3072870,000402,20626040A,193.98,
3072872,000404,20626045,257.44,
3072873,000405,20628017,488.93,
3072875,000407,20629012,283.77,
3072876,000408,20629034,315.98,
3072877,000409,20629041,448.05,
3072878,000410,20631011,184.48,
3072880,000412,20632014,346.03,
3072881,000413,20632027,346.03,
3072882,000414,20633003,220.25,
3072883,000415,20633015,346.03,
3072885,000417,20634031,341.63,
3072886,000418,20635021,327.79,
3072887,000419,20636005D,423.37,
3072888,000420,20636011,2983.21,
3072889,000421,20636018,1515.9,
3072890,000422,20639009,120.51,
3072891,000423,20639018,177.48,
3072892,000424,20639019,102.22,
3072893,000425,20639020,90.4,
3072894,000426,20639021,773.59,
3072896,000428,20640006,113.28,
3072897,000429,20640031,85.39,
3072898,000430,20641002,130.79,
3072899,000431,20641022,991.09,
3072900,000432,20641033,85.15,
3072901,000433,20641034,102.29,
3072902,000434,20642029,116.91,
3072903,000435,20644015,114.53,
3072904,000436,20644016,113.28,
3072905,000437,20645010,190.68,
3072906,000438,20647011,119.45,
3072907,000439,20647012,119.45,
3072908,000440,20647034,118.17,
3072909,000441,20649033,505.15,
3072910,000442,20650012,114.53,
3072911,000443,20650015,87.79,
3072914,000446,20653007,174.86,
3072915,000447,20653012,186.47,
3072916,000448,20653013,91.89,
3072917,000449,20653014,91.89,
3072918,000450,20653041,1378.7,
3072919,000451,20653042,991.15,
3072920,000452,20653053,395.01,
3072921,000453,20654010,446.7,
3072922,000454,20654025,91.89,
3072923,000455,20654045,91.89,
3072924,000456,20654048,186.47,
3072925,000457,20655013,297.97,
3072926,000458,20656002,91.89,
3072927,000459,20656021,91.89,
3072928,000460,20656030,297.97,
3072929,000461,20656046,186.47,
3072930,000462,20656051,62.12,
3072931,000463,20656054,186.47,
3072932,000464,20657001,137.46,
3072933,000465,20659005,107.42,
3072934,000466,20659011,160.03,
3072935,000467,20659012,158.46,
3072936,000468,20659019,165.09,
3072937,000469,20659024,160.03,
3072938,000470,20661028,70.08,
3072939,000471,20662020,109,
3072940,000472,20663006,140.93,
3072941,000473,30022004N,2147.18,
3072942,000474,30038019C,101.97,
3072943,000475,30039061A,826.18,
3072944,000476,30050003A,2859.47,
3072946,000478,30055004,768.21,
3072947,000479,30056011,516,
3072948,000480,30063008,1398.97,
3072949,000481,30063044,2738.29,
3072950,000482,30102001C,264.05,
3072951,000483,30107001,1823.6,
3072952,000484,30111001,3054.05,
3072953,000485,30119001K,2759.28,
3072954,000486,30120008T,1478.23,
3072955,000487,30120010C,388.21,
3072956,000488,30120018H,2509.94,
3072957,000489,30124026A,2955.31,
3072958,000490,30125010F,8650.05,
3072959,000491,30127015F,1728.76,
3072960,000492,30131043,1997.97,
3072961,000493,30133004Z,5096.72,
3072962,000494,30140001T,311.61,
3072963,000495,30141003E,789.64,
3072964,000496,30162075,60.71,
3072965,000497,30164001V,1574.66,
3072966,000498,30165026B,51.74,
3072968,000500,30175001,1322.62,
3072969,000501,30176036,1275.59,
3072971,000503,30185009,1205.01,
3072972,000504,30204003,104.21,
3072973,000505,30204010,832.11,
3072974,000506,30204017,188.4,
3072975,000507,30221002E,2038.52,
3072976,000508,30306013B,723.88,
3072977,000509,30307001H,2638,
3072978,000510,30307004K,2546.18,
3072979,000511,30308006R,2319.54,
3072980,000512,30309010D,474.58,
3072981,000513,30310012C,949.55,
3072982,000514,30315001L,1245.16,
3072983,000515,30315004E,2089.26,
3072985,000517,30317003Z,803.51,
3072986,000518,30317038,75.32,
3072987,000519,30317059A,320.15,
3072988,000520,30317062,551.92,
3072989,000521,30317072,388.02,
3072990,000522,30318016T,5657.45,
3072991,000523,30320001,3085.3,
3072993,000525,30323020,321.15,
3072994,000526,30324002P,342.83,
3072995,000527,30324003J,228.83,
3072996,000528,30324005,719.55,
3072997,000529,30325005,183.14,
3072998,000530,30326001N,3868.65,
3072999,000531,30328001E,1343.91,
3073000,000532,30331001K,1000.74,
3073002,000534,30334002C,6178.55,
3073003,000535,30334025,1875.23,
3073004,000536,30342001P,319.27,
3073005,000537,30342001R,795.19,
3073007,000539,30347032D,66.44,
3073008,000540,30347035A,315.44,
3073009,000541,30347044A,72.67,
3073010,000542,30347054D,428.23,
3073011,000543,30347071D,907.94,
3073012,000544,40036011,4286.3,
3073013,000545,40039004G,7063.48,
3073014,000546,40039037,60.21,
3073015,000547,40040017,5054.35,
3073016,000548,40040033,7611.52,
3073017,000549,40042025,1014.73,
3073018,000550,40050023,60.21,
3073019,000551,40054009,4900.31,
3073020,000552,40057040,1762.68,
3073021,000553,40057118,2006.91,
3073022,000554,40060037C,1279.5,
3073023,000555,40060080,2623.04,
3073024,000556,40060088,107.55,
3073025,000557,40061139,94.38,
3073026,000558,40066105,605.6,
3073027,000559,40068002,1883.98,
3073028,000560,40068027,717.25,
3073029,000561,40068120A,2237.29,
3073030,000562,40075033,3494.33,
3073031,000563,40102008,12913.77,
3073032,000564,40103032,2113.78,
3073033,000565,40107001F,264.4,
3073034,000566,40113011,67.86,
3073035,000567,40114120,267.06,
3073036,000568,40115018B,2038.88,
3073037,000569,40115018C,1889.07,
3073039,000571,40121021G,15006.68,
3073040,000572,40123058A,932.65,
3073041,000573,40123060B,57.55,
3073042,000574,40126003H,938.45,
3073043,000575,40133006A,6371.32,
3073044,000576,40133014,2625.77,
3073045,000577,40133028,1224.45,
3073046,000578,40136028,1405.2,
3073047,000579,40142008,1755.86,
3073048,000580,40145039,3202.16,
3073049,000581,40156014,14043.65,
3073050,000582,40157006,71.66,
3073051,000583,40160016,714.2,
3073052,000584,40170036,1706.7,
3073054,000586,40171007,313.18,
3073055,000587,40173002A,1365.63,
3073056,000588,40181002,2348.71,
3073057,000589,40181003,2170.71,
3073058,000590,40202048,744.28,
3073059,000591,40210003C,2074.93,
3073060,000592,40210003D,942.21,
3073061,000593,40210004A,4470.77,
3073062,000594,40210005,1209.52,
3073063,000595,40210006,1511.78,
3073064,000596,40227003,1130.12,
3073065,000597,40303030,256.1,
3073067,000599,40304030,292.16,
3073068,000600,40309010A,902.72,
3073069,000601,40313009F,1327.68,
3073070,000602,40315049,543.09,
3073071,000603,40315162,282.41,
3073072,000604,40315206,285.8,
3073073,000605,40315223,56.73,
3073074,000606,40315314,295.9,
3073075,000607,40315322,279,
3073077,000609,40334002D,137.77,
3073078,000610,40335051,1786.3,
3073079,000611,40337010,2090.43,
3073080,000612,40341001,63.51,
3073081,000613,40346026,1313.14,
3073082,000614,40356029,2176.68,
3073083,000615,40358059,4716.31,
3073084,000616,40361028,2250.72,
3073085,000617,40362046,1388.35,
3073087,000619,40369076,483.12,
3073088,000620,40371054,499.03,
3073089,000621,40373019,1964.12,
3073090,000622,40373059,804.64,
3073091,000623,40374080,419.07,
3073092,000624,40374083,419.07,
3073093,000625,40374107,58.43,
3073094,000626,40374110,1851.15,
3073095,000627,40375003B,501.45,
3073097,000629,40378040,191.35,
3073098,000630,40381058,376.94,
3073099,000631,40385036,346.52,
3073100,000632,40386058,336.44,
3073101,000633,40387003,545.9,
3073102,000634,40388024,253.6,
3073103,000635,40401023,276.89,
3073104,000636,40402035,205.75,
3073105,000637,40434009,433.77,
3073106,000638,40434032A,1206.95,
3073107,000639,40434069,540.69,
3073108,000640,40434070,1009.84,
3073109,000641,40434155A,2528.05,
3073110,000642,40434161,1049.14,
3073111,000643,40436003,1821.48,
3073112,000644,40438017,79.96,
3073113,000645,40525018A,1723.64,
3073114,000646,40525019C,443.76,
3073115,000647,40527001B,5923.16,
3073116,000648,40532008A,4760.42,
3073117,000649,40536034,2563.36,
3073118,000650,40601007,58.7,
3073119,000651,40602006,85.75,
3073120,000652,40602008,160.43,
3073121,000653,40602009,160.43,
3073122,000654,40602034,277.28,
3073123,000655,40612001G,57.22,
3073125,000657,40627001,160.81,
3073126,000658,40629015,164.52,
3073127,000659,40630011,52.23,
3073128,000660,40631010,304.68,
3073129,000661,40663008A,482.74,
3073130,000662,40663026,162.75,
3073131,000663,40663028,160.67,
3073132,000664,40663032,160.67,
3073133,000665,40664001C,65.64,
3073134,000666,40664003,79.72,
3073135,000667,40668004,65.41,
3073136,000668,40668005A,694.18,
3073137,000669,40668005B,69.27,
3073138,000670,40672013,163.71,
3073139,000671,40677001,64.31,
3073140,000672,40677037,484.07,
3073141,000673,40677053,984.64,
3073142,000674,40677084,508.35,
3073143,000675,40677092,79.74,
3073144,000676,40677093,114.89,
3073145,000677,40677094,3082.57,
3073146,000678,40677095,508.35,
3073147,000679,40677099,508.35,
3073148,000680,40678005A,67.47,
3073149,000681,40678009,537.55,
3073150,000682,40678047,466.25,
3073151,000683,40678055,510.66,
3073152,000684,40682001,117.03,
3073153,000685,40682002,117.19,
3073154,000686,40682003,116.93,
3073155,000687,40682004,117.26,
3073156,000688,40682006,117.03,
3073157,000689,40682007,117.19,
3073158,000690,40682008,117.1,
3073159,000691,40682009,117.1,
3073160,000692,40682010,122.34,
3073161,000693,40682012,163.92,
3073162,000694,40682014,118.26,
3073163,000695,40682015,122.41,
3073164,000696,40682030A,80.12,
3073165,000697,40683035,132.93,
3073166,000698,40684002,114.04,
3073167,000699,40684003,114.04,
3073168,000700,40684014,114.04,
3073169,000701,40684018,112.64,
3073170,000702,40684019,112.64,
3073171,000703,40684020,112.21,
3073172,000704,40684021,112.47,
3073173,000705,40684022,112.73,
3073174,000706,40684023,114.94,
3073175,000707,40684024,112.07,
3073176,000708,40684025,112.07,
3073177,000709,40684026,111.21,
3073178,000710,40684030,111.4,
3073179,000711,40684031,111.83,
3073180,000712,40684033,110.57,
3073181,000713,40684034,111.73,
3073182,000714,40684035,113.06,
3073183,000715,40684038,111.9,
3073184,000716,40684039,110.76,
3073185,000717,40684040,110.9,
3073186,000718,40685001,119.9,
3073187,000719,40685007,110.5,
3073188,000720,40685009,214.55,
3073189,000721,50001011S,159.15,
3073190,000722,50001011T,159.15,
3073192,000724,50002032D,262.27,
3073193,000725,50005008,314.94,
3073194,000726,50007026,62.42,
3073195,000727,50007065,62.42,
3073196,000728,50007104,1579.04,
3073197,000729,50007111,121.52,
3073198,000730,50007112,62.42,
3073199,000731,50007119,62.42,
3073200,000732,50007122,121.52,
3073201,000733,50007123,62.42,
3073202,000734,50007133,62.42,
3073203,000735,50008022,57.71,
3073204,000736,50008026,1395.36,
3073205,000737,50008086,62.42,
3073206,000738,50008102,62.42,
3073207,000739,50008116,62.42,
3073208,000740,50008126,109.97,
3073209,000741,50009052,62.42,
3073210,000742,50010003,62.42,
3073211,000743,50010085,121.52,
3073212,000744,50010086,188.46,
3073213,000745,50010090,121.52,
3073214,000746,50010099,62.42,
3073215,000747,50011026,62.42,
3073216,000748,50011035,121.52,
3073217,000749,50011086,99.54,
3073218,000750,50011125,62.42,
3073219,000751,50015010B,60.97,
3073220,000752,50015010E,328.51,
3073222,000754,50017003A,163.69,
3073223,000755,50017003D,163.69,
3073224,000756,50017005,359,
3073225,000757,50017014,394.55,
3073226,000758,50018003,340.16,
3073227,000759,50018013,340.26,
3073228,000760,50019029,104.71,
3073229,000761,50024016,340.26,
3073230,000762,50027001C,207.36,
3073231,000763,50027001D,207.36,
3073232,000764,50030007,502,
3073233,000765,50031015A,189.19,
3073234,000766,50032018,1517.65,
3073235,000767,50033027,66.86,
3073236,000768,50033028,260.96,
3073237,000769,50033063,260.96,
3073238,000770,50033075,260.96,
3073239,000771,50033092C,189.35,
3073240,000772,50033092D,225.57,
3073241,000773,50033110B,300.47,
3073242,000774,50034060,280.46,
3073243,000775,50034119,284.87,
3073244,000776,50034139,245.38,
3073245,000777,50034155,260.96,
3073246,000778,50034185B,155.45,
3073247,000779,50034209,269.18,
3073248,000780,50034219,260.96,
3073249,000781,50034221,260.96,
3073250,000782,50034252D,261.33,
3073251,000783,50034280A,261.16,
3073252,000784,50034280B,155.62,
3073253,000785,50034288A,609.1,
3073255,000787,50107020,72.74,
3073256,000788,50107040,144.54,
3073257,000789,50107041,144.54,
3073258,000790,50107044,257.56,
3073259,000791,50107059,190.92,
3073260,000792,50107068,144.54,
3073261,000793,50107073,113.83,
3073262,000794,50107103,109.09,
3073263,000795,50107109,620.7,
3073264,000796,50107115,226.87,
3073265,000797,50107117,132.98,
3073266,000798,50108035,1266.42,
3073267,000799,50108036,1266.42,
3073268,000800,50108045,1034.44,
3073269,000801,50108046,2877.77,
3073270,000802,50108064,703.34,
3073271,000803,50108137,62.25,
3073272,000804,50108138,72.74,
3073273,000805,50108143,763.46,
3073274,000806,50108149,72.74,
3073275,000807,50110021,209.61,
3073276,000808,50110026,144.54,
