AdvNum,Parcel,Face Amount
000014,101039270,26.1
000018,10105006Q,26.1
000019,10105086G,944.43
000019,10105086G,15.1
000019,10105086G,17.41
000019,10105086G,19.82
000019,10105086G,22.49
000019,10105086G,24.83
000019,10105086G,702.14
000019,10105086G,753.49
000019,10105086G,848.36
000019,10105086G,893.7
000021,10107085E,21.07
000034,10111001U,24.8
000035,10111001V,56.19
000035,10111001V,13.8
000035,10111001V,15.98
000035,10111001V,18.38
000035,10111001V,20.67
000035,10111001V,22.9
000035,10111001V,25.62
000035,10111001V,27.07
000035,10111001V,31.2
000035,10111001V,33.22
000035,10111001V,34.26
000035,10111001V,34.01
000035,10111001V,35
000035,10111001V,34.79
000035,10111001V,34.36
000039,10112032C,93.95
000044,101131500,21.07
000045,101131510,21.07
000049,101132780,20.2
000073,10115118F,25.1
000082,101153100,79.28
000082,101153100,15.1
000082,101153100,17.41
000082,101153100,19.82
000082,101153100,22.49
000082,101153100,24.83
000082,101153100,27.33
000082,101153100,29.35
000082,101153100,33.02
000082,101153100,34.83
000082,101153100,35.95
000082,101153100,34.98
000082,101153100,36.35
000082,101153100,37.28
000082,101153100,38.34
000082,101153100,40.09
000082,101153100,45.17
000082,101153100,49.13
000082,101153100,58.98
000084,101153430,21.07
000103,101170060,26.1
000106,101171010,411.84
000106,101171010,357.32
000109,10120011F,58.34
000109,10120011F,15.1
000109,10120011F,17.41
000109,10120011F,19.82
000109,10120011F,22.49
000109,10120011F,24.83
000109,10120011F,27.33
000109,10120011F,29.35
000109,10120011F,33.02
000109,10120011F,34.83
000109,10120011F,35.95
000109,10120011F,34.98
000109,10120011F,36.35
000109,10120011F,37.28
000110,10120011G,26.1
000114,101200470,58.34
000114,101200470,15.1
000114,101200470,17.41
000114,101200470,19.82
000114,101200470,22.49
000114,101200470,24.83
000114,101200470,27.33
000114,101200470,29.35
000114,101200470,33.02
000114,101200470,34.83
000114,101200470,35.95
000114,101200470,34.98
000114,101200470,36.35
000114,101200470,37.28
000136,102031400,24.8
000137,10205080K,76.74
000137,10205080K,13.8
000137,10205080K,15.98
000137,10205080K,18.38
000137,10205080K,20.67
000137,10205080K,22.9
000137,10205080K,25.62
000137,10205080K,27.07
000137,10205080K,31.2
000137,10205080K,33.22
000137,10205080K,34.26
000137,10205080K,34.01
000137,10205080K,35
000137,10205080K,34.79
000137,10205080K,34.36
000137,10205080K,36.19
000137,10205080K,42.04
000137,10205080K,46.83
000139,10207040B,24.8
000143,10208105B,54.36
000143,10208105B,13.8
000143,10208105B,15.98
000143,10208105B,18.38
000143,10208105B,20.67
000143,10208105B,22.9
000143,10208105B,25.62
000143,10208105B,27.07
000143,10208105B,31.2
000143,10208105B,33.22
000143,10208105B,34.26
000143,10208105B,34.01
000143,10208105B,35
000143,10208105B,34.79
000145,10212001R,24.8
000146,102130560,24.8
000157,102155290,20.2
000160,102156620,20.2
000161,10217152A,24.8
000163,10217168J,24.8
000165,10217174F,24.8
000166,10217174H,24.8
000167,10217174J,24.8
000174,102194640,19.09
000176,102194660,19.09
000181,10220014B,24.8
000184,102201210,20.2
000185,10221017E,24.8
000187,102220410,54.79
000187,102220410,13.8
000187,102220410,15.98
000187,102220410,18.38
000187,102220410,20.67
000187,102220410,22.9
000187,102220410,25.62
000187,102220410,27.07
000187,102220410,31.2
000187,102220410,33.22
000187,102220410,34.26
000187,102220410,34.01
000187,102220410,35
000191,10303060B,25.51
000215,103174490,75.66
000215,103174490,14.51
000215,103174490,17.04
000215,103174490,19.18
000215,103174490,21.81
000215,103174490,24.38
000215,103174490,27.62
000215,103174490,29.75
000215,103174490,34.38
000215,103174490,36.64
000215,103174490,37.47
000215,103174490,38.07
000215,103174490,38.69
000215,103174490,37.88
000215,103174490,38.18
000215,103174490,40.96
000215,103174490,46.59
000219,103190130,46.89
000219,103190130,12.9
000219,103190130,15.23
000219,103190130,17.24
000219,103190130,19.72
000219,103190130,22.16
000219,103190130,25.12
000219,103190130,27.46
000220,10319061A,23.9
000221,103202180,19.59
000223,10321029V,87.27
000223,10321029V,23.25
000223,10321029V,27.44
000223,10321029V,31.1
000223,10321029V,35.56
000223,10321029V,39.91
000223,10321029V,45.27
000223,10321029V,49.52
000223,10321029V,62.57
000223,10321029V,65.76
000223,10321029V,66.62
000227,103217060,41.79
000227,103217060,8.59
000227,103217060,10.15
000227,103217060,11.47
000227,103217060,13.13
000227,103217060,14.77
000227,103217060,16.7
000227,103217060,18.28
000227,103217060,19.93
000227,103217060,16.76
000227,103217060,18.71
000227,103217060,19.35
000227,103217060,21.88
000227,103217060,21.28
000228,103217070,41.79
000228,103217070,8.59
000228,103217070,10.15
000228,103217070,11.47
000228,103217070,13.13
000228,103217070,14.77
000228,103217070,16.7
000228,103217070,18.28
000228,103217070,19.93
000228,103217070,16.76
000228,103217070,18.71
000228,103217070,19.35
000228,103217070,21.88
000228,103217070,21.28
000229,103217090,19.59
000230,103217630,23.9
000231,10401040H,113.65
000233,104010600,78.45
000233,104010600,13.8
000233,104010600,15.98
000233,104010600,18.38
000233,104010600,20.67
000233,104010600,22.9
000233,104010600,25.62
000233,104010600,27.07
000233,104010600,31.2
000233,104010600,33.22
000233,104010600,34.26
000233,104010600,34.01
000233,104010600,35
000233,104010600,34.79
000233,104010600,34.36
000233,104010600,36.19
000233,104010600,42.04
000233,104010600,46.83
000233,104010600,56.74
000237,104011460,42.74
000237,104011460,9.2
000237,104011460,10.66
000237,104011460,12.23
000237,104011460,13.78
000237,104011460,15.22
000237,104011460,17.05
000237,104011460,18.03
000237,104011460,19.49
000237,104011460,18.43
000237,104011460,19.09
000237,104011460,19.04
000237,104011460,21.88
000237,104011460,21.74
000237,104011460,21.46
000242,10402126B,56.18
000242,10402126B,13.8
000242,10402126B,15.98
000242,10402126B,18.38
000242,10402126B,20.67
000242,10402126B,22.9
000242,10402126B,25.62
000242,10402126B,27.07
000242,10402126B,31.2
000242,10402126B,33.22
000242,10402126B,34.26
000242,10402126B,34.01
000242,10402126B,35
000242,10402126B,34.79
000242,10402126B,34.36
000242,10402126B,36.19
000242,10402126B,42.04
000242,10402126B,46.83
000242,10402126B,56.74
000242,10402126B,58.45
000242,10402126B,65.88
000242,10402126B,69.81
000242,10402126B,68.93
000242,10402126B,70.41
000243,104021340,78.45
000243,104021340,13.8
000243,104021340,15.98
000243,104021340,18.38
000243,104021340,20.67
000243,104021340,22.9
000243,104021340,25.62
000243,104021340,27.07
000243,104021340,31.2
000243,104021340,33.22
000243,104021340,34.26
000243,104021340,34.01
000243,104021340,35
000243,104021340,34.79
000243,104021340,34.36
000243,104021340,36.19
000243,104021340,42.04
000243,104021340,46.83
000243,104021340,56.74
000244,10403001K,26.63
000271,10407057H,57.73
000271,10407057H,16.41
000271,10407057H,18.77
000271,10407057H,21.33
000271,10407057H,24.15
000271,10407057H,26.65
000271,10407057H,29.31
000271,10407057H,31.48
000271,10407057H,35.3
000271,10407057H,37.27
000271,10407057H,38.54
000273,10408009D,1722.22
000273,10408009D,729.67
000273,10408009D,870.25
000273,10408009D,1011.63
000273,10408009D,1140.87
000273,10408009D,1267.06
000273,10408009D,1418.47
000273,10408009D,1518.11
000277,104091570,25.31
000283,10410077B,27.15
000307,105010620,24.8
000308,10501067A,62.04
000308,10501067A,13.8
000308,10501067A,15.98
000308,10501067A,18.38
000308,10501067A,20.67
000308,10501067A,22.9
000308,10501067A,25.62
000308,10501067A,27.07
000308,10501067A,31.2
000308,10501067A,33.22
000308,10501067A,34.26
000308,10501067A,34.01
000308,10501067A,35
000308,10501067A,34.79
000308,10501067A,34.36
000308,10501067A,36.19
000312,10504026F,62.04
000312,10504026F,13.8
000312,10504026F,15.98
000312,10504026F,18.38
000312,10504026F,20.67
000312,10504026F,22.9
000312,10504026F,25.62
000312,10504026F,27.07
000312,10504026F,31.2
000312,10504026F,33.22
000312,10504026F,34.26
000312,10504026F,34.01
000312,10504026F,35
000312,10504026F,34.79
000312,10504026F,34.36
000312,10504026F,36.19
000315,10505088B,62.04
000315,10505088B,13.8
000315,10505088B,15.98
000315,10505088B,18.38
000315,10505088B,20.67
000315,10505088B,22.9
000315,10505088B,25.62
000315,10505088B,27.07
000315,10505088B,31.2
000315,10505088B,33.22
000315,10505088B,34.26
000315,10505088B,34.01
000315,10505088B,35
000315,10505088B,34.79
000315,10505088B,34.36
000315,10505088B,36.19
000316,10505133B,62.04
000316,10505133B,13.8
000316,10505133B,15.98
000316,10505133B,18.38
000316,10505133B,20.67
000316,10505133B,22.9
000316,10505133B,25.62
000316,10505133B,27.07
000316,10505133B,31.2
000316,10505133B,33.22
000316,10505133B,34.26
000316,10505133B,34.01
000316,10505133B,35
000316,10505133B,34.79
000316,10505133B,34.36
000316,10505133B,36.19
000317,10505134C,62.04
000317,10505134C,13.8
000317,10505134C,15.98
000317,10505134C,18.38
000317,10505134C,20.67
000317,10505134C,22.9
000317,10505134C,25.62
000317,10505134C,27.07
000317,10505134C,31.2
000317,10505134C,33.22
000317,10505134C,34.26
000317,10505134C,34.01
000317,10505134C,35
000317,10505134C,34.79
000317,10505134C,34.36
000317,10505134C,36.19
000323,10508002E,24.8
000324,10508020D,23.53
000332,10512089A,50.98
000332,10512089A,12.19
000332,10512089A,14.17
000332,10512089A,16.46
000332,10512089A,18.59
000332,10512089A,20.68
000332,10512089A,23.12
000332,10512089A,24.77
000332,10512089A,28.71
000332,10512089A,30.25
000332,10512089A,30.87
000332,10512089A,30.44
000332,10512089A,31.31
000332,10512089A,31
000340,10513008A,67.76
000340,10513008A,12.19
000340,10513008A,14.17
000340,10513008A,16.46
000340,10513008A,18.59
000340,10513008A,20.68
000340,10513008A,23.12
000340,10513008A,24.77
000340,10513008A,28.71
000340,10513008A,30.25
000340,10513008A,30.87
000340,10513008A,30.44
000340,10513008A,31.31
000340,10513008A,31
000340,10513008A,30.98
000340,10513008A,32.58
000340,10513008A,37.82
000340,10513008A,43.01
000342,10513109L,57.82
000342,10513109L,12.19
000342,10513109L,16.46
000342,10513109L,18.59
000342,10513109L,20.68
000342,10513109L,23.12
000342,10513109L,24.77
000342,10513109L,28.71
000342,10513109L,29.09
000342,10513109L,40.69
000342,10513109L,40.14
000342,10513109L,41.15
000342,10513109L,39.27
000342,10513109L,32.58
000347,10601223A,69.47
000347,10601223A,12.19
000347,10601223A,14.17
000347,10601223A,16.46
000347,10601223A,18.59
000347,10601223A,20.68
000347,10601223A,23.12
000347,10601223A,24.77
000347,10601223A,28.71
000347,10601223A,30.25
000347,10601223A,30.87
000347,10601223A,30.44
000347,10601223A,31.31
000347,10601223A,31
000347,10601223A,30.98
000347,10601223A,32.58
000347,10601223A,37.82
000347,10601223A,43.01
000347,10601223A,47.76
000349,10602019C,69.47
000349,10602019C,12.19
000349,10602019C,14.17
000349,10602019C,16.46
000349,10602019C,18.59
000349,10602019C,20.68
000349,10602019C,23.12
000349,10602019C,24.77
000349,10602019C,28.71
000349,10602019C,30.25
000349,10602019C,30.87
000349,10602019C,30.44
000349,10602019C,31.31
000349,10602019C,31
000349,10602019C,30.98
000349,10602019C,32.58
000349,10602019C,37.82
000349,10602019C,43.01
000349,10602019C,47.76
000362,10604161C,67.76
000362,10604161C,12.19
000362,10604161C,14.17
000362,10604161C,16.46
000362,10604161C,18.59
000362,10604161C,20.68
000362,10604161C,23.12
000362,10604161C,24.77
000362,10604161C,28.71
000362,10604161C,30.25
000362,10604161C,30.87
000362,10604161C,30.44
000362,10604161C,31.31
000362,10604161C,31
000362,10604161C,30.98
000362,10604161C,32.58
000362,10604161C,37.82
000362,10604161C,43.01
000369,106043410,423.98
000369,106043410,227.52
000369,106043410,262.89
000369,106043410,304.42
000369,106043410,335.73
000369,106043410,354.81
000369,106043410,377.96
000370,106043420,786.68
000370,106043420,227.52
000370,106043420,262.89
000370,106043420,304.42
000370,106043420,335.73
000370,106043420,354.81
000370,106043420,377.96
000370,106043420,403.98
000370,106043420,468.82
000370,106043420,492.62
000370,106043420,503.55
000370,106043420,496.54
000370,106043420,510.12
000370,106043420,503.95
000370,106043420,504.34
000370,106043420,531.96
000370,106043420,614.37
000370,106043420,690.74
000371,106043430,1396.4
000371,106043430,227.52
000371,106043430,262.89
000371,106043430,304.42
000371,106043430,335.73
000371,106043430,354.81
000371,106043430,377.96
000371,106043430,403.98
000371,106043430,468.82
000371,106043430,492.62
000371,106043430,503.55
000371,106043430,496.54
000371,106043430,510.12
000371,106043430,503.95
000371,106043430,504.34
000371,106043430,531.96
000371,106043430,614.37
000371,106043430,690.74
000371,106043430,766.68
000371,106043430,794.55
