RA_ITEMID,ADVNUM,PARCEL,FACEVALUE,BID
3096884,000001,101014370,3891.99,
3096885,000002,101016160,1384.4,
3096886,000003,101016170,29611.66,
3096887,000004,101016180,21517.03,
3096888,000005,101016190,21517.03,
3096889,000006,101021050,1456.59,
3096891,000008,101031370,2746.74,
3096892,000009,101031380,700,
3096893,000010,101031600,371.35,
3096895,000012,101034580,2134.45,
3096896,000013,10103916F,13957.1,
3096897,000014,101039270,26.1,
3096901,000018,10105006Q,26.1,
3096902,000019,10105086G,4241.77,
3096903,000020,101070340,712.38,
3096904,000021,10107085E,21.07,
3096905,000022,101074260,934.7,
3096906,000023,101077290,1980.58,
3096907,000024,101077620,1384.51,
3096909,000026,101078390,566.86,
3096910,000027,101078470,1248.46,
3096912,000029,101080390,2405.42,
3096914,000031,10109012J,2844.73,
3096915,000032,101100540,2284.75,
3096916,000033,101102130,4848.49,
3096917,000034,10111001U,24.8,
3096918,000035,10111001V,437.45,
3096919,000036,101116510,3172.4,
3096922,000039,10112032C,93.95,
3096923,000040,101120510,557.36,
3096926,000043,101130470,2754.29,
3096927,000044,101131500,21.07,
3096928,000045,101131510,21.07,
3096929,000046,101132050,1436.34,
3096933,000050,101140100,289.7,
3096934,000051,101140460,708.97,
3096935,000052,101140520,640.74,
3096936,000053,101140560,1410.78,
3096937,000054,101140600,778.76,
3096938,000055,101141280,599.4,
3096939,000056,101141430,639.36,
3096940,000057,101141650,616.35,
3096941,000058,101141660,175.88,
3096944,000061,101142220,753.96,
3096946,000063,101142510,730.54,
3096947,000064,101142550,587.25,
3096948,000065,10114266A,910.21,
3096950,000067,101143160,481.65,
3096951,000068,101143490,554.29,
3096953,000070,101150870,376.67,
3096954,000071,101150960,2020.09,
3096955,000072,10115117H,883.9,
3096956,000073,10115118F,25.1,
3096958,000075,101151920,565.98,
3096959,000076,101151930,1372.55,
3096960,000077,101152230,920.3,
3096961,000078,101152630,660.08,
3096962,000079,101152700,630.54,
3096964,000081,101152940,396.56,
3096965,000082,101153100,679.73,
3096967,000084,101153430,21.07,
3096968,000085,101160550,1619.59,
3096969,000086,101160630,1810.89,
3096972,000089,10116118R,2548.91,
3096973,000090,10116128A,336.97,
3096976,000093,101162160,290.75,
3096977,000094,101162210,573.3,
3096978,000095,101162230,717.69,
3096979,000096,101162370,618.14,
3096980,000097,101162610,389.53,
3096981,000098,101162650,573.3,
3096982,000099,101162720,647.31,
3096984,000101,101162930,577.52,
3096985,000102,101163070,481.92,
3096986,000103,101170060,26.1,
3096987,000104,101170270,1669.51,
3096989,000106,101171010,769.16,
3096990,000107,10118002E,5477.39,
3096991,000108,10118002G,2668.92,
3096992,000109,10120011F,427.08,
3096993,000110,10120011G,26.1,
3096994,000111,10120019J,9007.57,
3096995,000112,10120019M,57.98,
3096996,000113,10120031H,4813.81,
3096997,000114,101200470,427.08,
3096998,000115,101200530,520.99,
3096999,000116,10121043E,1522.38,
3097000,000117,101210640,3736.98,
3097001,000118,101220230,890.16,
3097002,000119,101220330,610.97,
3097003,000120,101220450,743.6,
3097005,000122,101221040,516.24,
3097006,000123,101221200,497.97,
3097007,000124,101221330,1095.61,
3097008,000125,101221480,1192.99,
3097009,000126,101221500,573.3,
3097010,000127,101221550,263.97,
3097011,000128,101230040,525.55,
3097012,000129,101230170,991.55,
3097017,000134,101234140,2495.44,
3097018,000135,102028830,4441.99,
3097019,000136,102031400,24.8,
3097020,000137,10205080K,583.06,
3097021,000138,102061330,10208.35,
3097022,000139,10207040B,24.8,
3097025,000142,102080630,2857.12,
3097026,000143,10208105B,401.26,
3097027,000144,102101160,44.93,
3097028,000145,10212001R,24.8,
3097029,000146,102130560,24.8,
3097030,000147,102151150,890.1,
3097031,000148,102151830,545.21,
3097032,000149,102151930,545.21,
3097033,000150,102151970,408.21,
3097035,000152,102152080,486.02,
3097037,000154,102152630,721.11,
3097038,000155,102153320,545.21,
3097044,000161,10217152A,24.8,
3097045,000162,102171550,3813.57,
3097046,000163,10217168J,24.8,
3097047,000164,10217173C,5849.01,
3097048,000165,10217174F,24.8,
3097049,000166,10217174H,24.8,
3097050,000167,10217174J,24.8,
3097051,000168,10218013H,11581.77,
3097052,000169,102181780,20.2,
3097053,000170,102181790,20.2,
3097054,000171,102194540,1830.34,
3097055,000172,102194620,19.09,
3097056,000173,102194630,19.09,
3097057,000174,102194640,19.09,
3097058,000175,102194650,19.09,
3097059,000176,102194660,19.09,
3097060,000177,10220010J,432.87,
3097061,000178,10220010K,435.58,
3097062,000179,10220010L,455.28,
3097063,000180,10220010M,332.07,
3097064,000181,10220014B,24.8,
3097066,000183,102201200,20.2,
3097067,000184,102201210,20.2,
3097068,000185,10221017E,24.8,
3097069,000186,102210490,823.05,
3097071,000188,10303026A,5466.61,
3097072,000189,10303052D,2980.08,
3097073,000190,10303052E,3106.41,
3097074,000191,10303060B,25.51,
3097075,000192,10304013D,4447.45,
3097076,000193,10304053A,2487.75,
3097077,000194,10305021B,5619.18,
3097081,000198,10306005C,377.1,
3097083,000200,10306044G,4451.57,
3097086,000203,10307096B,2868.41,
3097087,000204,103082420,133.54,
3097088,000205,10310010A,4741.93,
3097089,000206,10310011F,6232.37,
3097091,000208,103110110,3362.62,
3097092,000209,103120350,2703.82,
3097094,000211,103171380,1347.02,
3097095,000212,103173020,4126.13,
3097096,000213,103173200,3017.3,
