RA_ITEMID,ADVNUM,PARCEL,FACEVALUE,BID
6432112,000001,R00010-001,404.95,
6432113,000002,R00011-000,334.68,
6432114,000003,R00011-001,114.2,
6432115,000004,R00011-002,114.2,
6432116,000005,R00020-002,3254.3,
6432117,000006,R00023-999,42.8,
6432118,000007,R00028-000,585.48,
6432119,000008,R00031-000,481.67,
6432120,000009,R00031-001,114.2,
6432121,000010,R00031-002,731.27,
6432122,000011,R00031-004,114.2,
6432123,000012,R00031-006,114.2,
6432124,000013,R00031-008,187.68,
6432125,000014,R00031-013,334.68,
6432129,000018,R00043-003,455.86,
6432130,000019,R00043-004,132.07,
6432131,000020,R00046-000,693.21,
6432132,000021,R00050-002,1035.8,
6432136,000025,R00066-004,2005.36,
6432137,000026,R00068-002,1221.66,
6432138,000027,R00072-003,402.91,
6432139,000028,R00073-000,1310.07,
6432140,000029,R00074-001,403.64,
6432141,000030,R00079-006,1048.19,
6432143,000032,R00085-005,913.39,
6432144,000033,R00089-003,2228.77,
6432145,000034,R00118-004,626.34,
6432148,000037,R00127-011,49.62,
6432149,000038,R00129-000,3341.44,
6432150,000039,R00130-000,525.9,
6432151,000040,R00133-001,3465.24,
6432152,000041,R00134-007,327.33,
6432153,000042,R00142-004,96.96,
6432154,000043,R00150-007,112.88,
6432156,000045,R00157-106,1573.09,
6432157,000046,R00160-000,903.5,
6432158,000047,R00165-004,45.18,
6432160,000049,R00165-007,1573.85,
6432161,000050,R00165-011,229.4,
6432162,000051,R00167-002,4627.73,
6432163,000052,R00167-036,3448.09,
6432164,000053,R00168-001,47.34,
6432165,000054,R00169-002,48.05,
6432166,000055,R00188-001,2104.12,
6432168,000057,R00188-005,523.95,
6432170,000059,R00195-002,1908.72,
6432171,000060,R00195-003,1571.83,
6432172,000061,R00195-004,861.07,
6432173,000062,R00198-003,284.07,
6432174,000063,R00204-000,1725.15,
6432175,000064,R00210-001,3604.36,
6432176,000065,R00214-000,4992.36,
6432177,000066,R00214-003,576.81,
6432178,000067,R00214-005,1292.07,
6432179,000068,R00219-000,1397.32,
6432180,000069,R00219-001,1340.81,
6432181,000070,R00220-107,620.68,
6432182,000071,R00225-000,178.28,
6432183,000072,R00227-001,600.58,
6432184,000073,R00227-008,704.64,
6432185,000074,R00227-010,34.1,
6432188,000077,R00254-000,4906.44,
6432189,000078,R00256-000,449.65,
6432190,000079,R00260-008,336.57,
6432191,000080,R00270-101,2337.71,
6432192,000081,R00270-113,1271.54,
6432193,000082,R00275-005,1362.92,
6432194,000083,R00275-006,609.65,
6432195,000084,R00275-008,1618.51,
6432196,000085,R00275-009,227.9,
6432197,000086,R00275-011,263.64,
6432198,000087,R00275-013,765.49,
6432199,000088,R00276-113,565.45,
6432200,000089,R00276-114,601.57,
6432202,000091,R00304-000,180.59,
6432203,000092,R00311-000,954.75,
6432205,000094,R00312-002,621.38,
6432206,000095,R00312-015,1676.41,
6432207,000096,R00312-016,973.81,
6432208,000097,R00316-001,2259.01,
6432210,000099,R00320-004,2824.86,
6432212,000101,R00321-003,65.46,
6432213,000102,R00324-000,1295.48,
6432215,000104,R00336-018,349.11,
6432217,000106,R00341-012,560.74,
6432218,000107,R00344-002,1322.65,
6432220,000109,R00344-009,1261.01,
6432221,000110,R00346-005,1443.8,
6432222,000111,R00347-017,2675.66,
6432223,000112,R00347-018,653.97,
6432224,000113,R00347-021,683.85,
6432225,000114,R00347-026,1326.36,
6432226,000115,R00347-029,2012.83,
6432227,000116,R00347-203,2387.79,
6432228,000117,R00347-204,1104.93,
6432229,000118,R00347-207,1115.56,
6432230,000119,R00349-001,2440.54,
6432231,000120,R00350-009,977.08,
6432233,000122,R00358-005,976.23,
6432234,000123,R00360-204,1231.91,
6432235,000124,R00360-205,2724.5,
6432236,000125,R00367-108,612.71,
6432238,000127,R00369-005,101.21,
6432239,000128,R00370-010,940.01,
