AdvNum,Parcel,Face Amount
0000074,R00227-010,34.1
0000144,R00407-105,290.21
0000160,R00447-223,574.25
0000161,R00447-224,574.25
0000191,R00485-002,52.09
0000218,R00499-001,32.24
0000251,R00700-002,199.55
0000268,R00837-208,56.35
0000269,R00837-210,61.6
0000270,R00837-212,56.35
0000273,R00862-003,281.02
0000275,R00862-008,281.02
0000277,R00882-000,210.05
0000295,R01039-000,199.55
0000328,R01299-000,275.77
0000329,R01300-000,275.77
0000332,R01309-021,305.27
0000380,R01438-069,125.38
0000393,R01439-699,45.95
0000441,R01655-204,189.28
0000467,R01697-101,55.19
0000468,R01697-102,55.19
0000469,R01707-100,37.55
0000476,R01720-011,369.14
0000521,R01818-016,36.68
0000527,R01844-100,40.7
0000536,R01857-013,36.63
0000546,R01901-002,41.18
0000572,R01911-034,60.65
0000573,R01923-000,872.61
0000629,R02059-000,74.87
0000630,R02059-003,40.48
0000700,R02239-135,158.29
0000730,R02273-018,49.62
0000757,R02321-007,800.99
0000778,R02372-081,51.96
0000779,R02372-082,44.6
0000806,R02421-000,53.89
0000807,R02421-001,52.57
0000848,R02475-002,44.96
0000851,R02493-000,49.16
0001011,R02951-001,37.55
0001204,R03452-000,42.16
0001236,R03514-000,164.16
0001240,R03517-001,34.88
0001243,R03523-000,39.64
0001275,R03621-998,39.02
0001276,R03621-999,49.52
0001420,R03814-001,153.53
0001421,R03814-108,174.57
0001463,R03869-001,36.37
0001506,R03972-005,84.19
0001512,R03980-000,43.58
0001521,R04002-019,83.46
0001529,R04009-000,78.71
0001536,R04040-000,53.89
0001541,R04056-000,78.95
0001556,R04063-011,59.34
0001590,R04120-099,67.64
0001606,R04146-100,33.19
0001643,R04197-008,37.55
0001652,R04213-007,59.01
0001666,R04236-054,415.23
0001667,R04236-055,415.23
0001668,R04236-057,488.72
0001675,R04236-999,38.27
0001676,R04238-001,204.69
0001684,R04259-004,128.89
0001715,R04318-000,46.28
0001741,R04386-000,103.7
0001770,R04611-000,233.52
0001811,R04717-005,91.62
0001819,R04736-001,64.95
0001820,R04736-107,566.19
0001827,R04787-001,94.17
0001847,R04821-007,70.79
0001866,R04847-007,50.91
0001873,R04853-003,41.35
0001882,R04903-001,109.26
0001917,R04971-043,887.89
0001919,R04976-000,160.71
0001921,R04985-000,95.67
0001972,R05255-099,33.87
0001976,R05300-001,37.55
0001997,R05428-000,48.52
0002031,R05632-002,52.19
0002036,R05650-000,63.86
0002039,R05658-000,63.86
0002041,R05669-000,59.08
0002043,R05672-000,69.47
0002045,R05679-000,38.65
0002046,R05680-000,191.35
0002047,R05685-001,55.8
0002049,R05692-000,76.08
0002053,R05699-000,87
0002054,R05699-001,63.86
0002057,R05708-000,103.54
0002087,R05826-001,57
0002088,R05828-001,111.25
0002089,R05830-000,51.03
0002121,R06217-000,38.71
0002122,R06244-099,39.35
0002123,R06256-005,98.41
0002128,R06277-000,74.33
0002131,R06294-000,55.5
0002132,R06295-000,93.71
0002136,R06307-000,83.46
0002146,R06337-000,59.87
0002147,R06345-000,126.14
0002148,R06345-001,64.38
0002171,R06434-000,42.06
0002217,R06638-000,167.94
0002218,R06639-000,108.41
0002223,R06661-001,178.14
0002229,R06695-001,48.05
0002230,R06698-001,48.05
0002248,R06892-003,60.96
0002268,R07017-001,75.98
0002293,R07246-000,35.08
0002294,R07263-000,305.13
0002296,R07300-000,32.77
0002297,R07303-000,200.33
0002300,R07310-006,129.79
0002302,R07310-009,124.41
0002303,R07310-013,85.21
0002305,R07339-000,44.5
0002310,R07355-000,67.51
0002315,R07373-000,858.07
0002332,R07451-000,111.03
0002334,R07486-009,62.38
0002358,R07571-009,44.6
0002362,R07592-029,122.84
0002366,R07595-000,40.91
0002369,R07598-003,38.75
0002370,R07609-000,171.76
0002417,R08082-099,93.1
0002431,R08142-000,51.96
0002489,R08335-020,175.29
0002501,R08354-009,44.37
0002541,R08404-014,37.55
0002678,R09049-014,34.57
0002737,R09289-000,168.22
0002751,R09333-016,62.93
0002829,R09598-008,80.38
0002934,R09907-006,84.16
0002944,R09919-001,704.07
0002954,R09928-000,598.45
0002970,R09949-005,53.54
0002976,R09962-000,185.49
0002980,R09969-007,51.32
0003029,R10013-040,81.23
0003030,R10014-001,36.19
0003055,R10042-010,275.88
0003077,R10130-000,123.64
0003081,R10274-001,48.05
0003088,R10377-000,66.34
0003092,R10454-000,58.69
0003108,R10551-001,108.44
0003122,R10612-003,85.52
0003130,R10662-000,121.5
0003135,R10679-001,98
0003136,R10679-002,94.99
0003148,R10752-000,144.51
0003149,R10754-000,133
0003155,R10780-000,794.12
0003191,R10949-000,125.32
0003195,R10961-000,147.59
0003203,R10986-000,124.77
0003204,R10988-000,767.6
0003205,R10989-000,155.52
0003207,R10993-000,172.86
0003214,R11017-000,196.75
0003215,R11018-000,158.09
0003218,R11022-000,182.24
0003227,R11072-000,167.63
0003231,R11080-000,128.25
0003232,R11082-000,112.48
0003233,R11083-000,153.76
0003252,R11145-001,182.52
0003269,R11214-000,284.38
0003272,R11224-000,225.7
0003275,R11255-000,844.93
0003278,R11262-000,256.45
0003298,R11325-001,166.42
0003299,R11325-003,808.71
0003300,R11326-000,156.76
0003306,R11332-000,779.15
0003307,R11335-000,153.02
0003308,R11336-000,145.15
0003309,R11337-000,165.15
0003311,R11343-000,145.15
0003319,R11350-000,563.6
0003320,R11351-000,136.45
0003329,R11365-000,126
0003330,R11367-000,178.57
0003331,R11368-000,178.57
0003332,R11369-000,160.59
0003336,R11374-000,708.27
0003337,R11375-000,156.06
0003338,R11383-000,165.32
0003341,R11388-000,191.34
0003342,R11389-000,158.54
0003344,R11397-000,152.51
0003345,R11399-000,120.26
0003346,R11403-000,140.18
