RA_ITEMID,ADVNUM,PARCEL,FACEVALUE,BID
6440083,000001,010813-00003634-1100,87.01,
6440084,000002,010813-00003638-0000,628.43,
6440085,000003,010813-00003638-0900,745.28,
6440086,000004,010813-00003638-1700,33.79,
6440088,000006,010913-00003943-0201,2424.84,
6440089,000007,010913-39460000-0040,1851.08,
6440090,000008,010913-39460000-0080,540.27,
6440091,000009,011013-00004513-0000,758.62,
6440092,000010,011013-45120000-0040,763.19,
6440093,000011,011013-45120000-0270,698.71,
6440094,000012,011013-45120000-0330,359.27,
6440095,000013,011013-45120000-0540,398.09,
6440097,000015,011013-45120000-0720,359.27,
6440098,000016,011013-45120000-0820,530.43,
6440100,000018,011013-45120000-0950,760.7,
6440101,000019,011013-45130000-0100,1801.01,
6440104,000022,011013-45130000-0980,552,
6440106,000024,011113-66430000-0002,1226.01,
6440107,000025,011113-66430000-0040,503.15,
6440108,000026,011113-66430000-0050,122.28,
6440109,000027,011113-66430000-0060,1052.96,
6440111,000029,011113-66430000-0100,898.15,
6440112,000030,011113-6778160E-0030,3282.39,
6440114,000032,011113-6778160E-0160,141.85,
6440116,000034,020913-39090000-0110,479.41,
6440117,000035,020913-39480000-0210,1260.84,
6440118,000036,020913-39480000-0220,517.22,
6440120,000038,020913-39480000-0370,902.07,
6440121,000039,020913-39490002-0150,1187.86,
6440122,000040,020913-39490003-0160,909.63,
6440123,000041,020913-39490003-0190,681.8,
6440124,000042,020913-39550000-0040,1489.08,
6440125,000043,021011-00001091-0000,1158.29,
6440126,000044,021011-00001094-0000,730.26,
6440127,000045,021013-00004514-0200,510.35,
6440128,000046,021013-45090000-0030,279.73,
6440129,000047,021013-45090000-0180,341.21,
6440130,000048,021013-45090000-0190,325.02,
6440131,000049,021013-45090000-0260,313.64,
6440132,000050,021013-45090000-0320,341.79,
6440133,000051,021013-45090000-0490,332.81,
6440134,000052,021013-4513000C-0010,902.87,
6440135,000053,021013-4513000C-0060,673.11,
6440136,000054,021013-4513000C-0120,1791.32,
6440137,000055,021013-4513000C-0150,974.72,
6440138,000056,021013-4513000C-0290,2909.16,
6440140,000058,021013-4513000D-0080,1143.75,
6440141,000059,021013-4513000D-0100,1323.21,
6440142,000060,021013-4513000E-0060,359.27,
6440144,000062,021013-4513000E-0190,458.71,
6440146,000064,021013-4513000F-0070,316.65,
6440147,000065,021113-66460000-0090,868.62,
6440151,000069,030913-39490000-0170,729.44,
6440152,000070,030913-39490002-0200,544.21,
6440153,000071,031012-1438000A-0120,93.08,
6440154,000072,031012-1438000A-0140,136.89,
6440155,000073,031012-1438000A-0170,359.27,
6440156,000074,031012-1438000B-0010,76.38,
6440157,000075,031012-1438000B-0120,1174.05,
6440158,000076,031012-1438000H-0140,143.15,
6440159,000077,031012-1438000J-0080,478.27,
6440160,000078,031012-1438000K-0130,128.55,
6440161,000079,031012-1438000L-0010,473.05,
6440162,000080,031012-1438000L-0030,76.38,
6440163,000081,031012-1438000M-0010,687.42,
6440164,000082,031012-1438000M-0040,260,
6440165,000083,031013-45110000-0220,1153.85,
6440166,000084,031013-45110000-0230,2028.88,
6440167,000085,031013-45110000-0270,386.71,
6440168,000086,031013-45110000-0280,213.24,
6440169,000087,031013-45110000-0340,2268.08,
6440170,000088,031013-45110000-0350,784.87,
6440171,000089,031013-45140000-0210,359.27,
6440172,000090,031013-45140000-0290,694.53,
6440173,000091,031013-45150000-0030,1627.16,
6440174,000092,031013-45150000-0110,889.16,
6440175,000093,031013-45150000-0140,932.69,
6440176,000094,031013-45150000-0520,1672.24,
6440177,000095,031013-45150000-0550,359.27,
6440178,000096,031013-45150000-0660,654.33,
6440180,000098,031213-00006800-0400,5496.13,
