AdvNum,Parcel,Face Amount
0000026,011113-66430000-0050,122.28
0000074,031012-1438000B-0010,76.38
0000132,041012-00001700-0000,111.52
0000133,041012-00001710-0000,78.78
0000134,041012-00001712-0000,89.69
0000135,041012-00001727-0000,81.52
0000136,041012-00001727-0100,89.69
0000147,041012-00001758-0000,97.89
0000160,041012-16310000-0052,67.87
0000184,041012-18860006-0011,1958.45
0000193,041012-1983000D-0001,108.79
0000197,041012-1983000I-0030,82.64
0000243,051012-00002042-0000,70.13
0000339,091012-21080016-0022,73.34
0000354,091012-22150011-0110,97.89
0000365,091012-23620013-0090,80.55
0000462,111013-45620000-0050,103.51
0000464,111013-45620000-0290,141.06
0000495,120913-40300002-0210,105.59
0000519,120913-40300024-0090,126.46
0000523,120913-40300028-0170,93.08
0000527,120913-40300036-0210,93.08
0000532,120913-40300040-0050,126.46
0000694,160913-41100005-0010,81.27
0000695,160913-41100005-0150,94.86
0000697,160913-41100006-0320,102.84
0000700,160913-41100008-0010,81.27
0000701,160913-41100008-0150,81.27
0000702,160913-41100008-0160,102.84
0000703,160913-41100008-0250,81.27
0000704,160913-41100008-0360,81.27
0000705,160913-41100009-0220,81.27
0000707,160913-41100010-0050,81.27
0000708,160913-41100010-0130,81.27
0000709,160913-41100010-0250,81.27
0000710,160913-41100010-0330,81.27
0000711,160913-41100010-0380,81.27
0000713,160913-41100011-0120,81.27
0000715,160913-41100011-0150,81.27
0000717,160913-41100011-0220,81.27
0000718,160913-41100011-0230,81.27
0000720,160913-41100011-0320,81.27
0000721,160913-41100012-0120,81.27
0000724,160913-41100012-0340,81.27
0000725,160913-41100012-0350,81.27
0000727,160913-41100013-0060,81.27
0000728,160913-41100013-0150,81.27
0000729,160913-41100013-0160,81.27
0000730,160913-41100013-0380,81.27
0000731,160913-41100014-0030,81.27
0000732,160913-41100014-0050,102.84
0000734,160913-41100014-0180,81.27
0000735,160913-41100014-0270,81.27
0000736,160913-41100014-0330,81.27
0000739,160913-41100016-0050,81.27
0000740,160913-41100016-0080,81.27
0000741,160913-41100016-0110,102.84
0000742,160913-41100016-0130,105.23
0000743,160913-41100016-0170,81.27
0000744,160913-41100016-0210,81.27
0000745,160913-41100016-0220,81.27
0000746,160913-41100016-0270,81.27
0000748,160913-41100016-0360,81.27
0000749,160913-41100016-0370,102.84
0000751,160913-41100018-0230,102.84
0000756,160913-41100020-0090,102.84
0000757,160913-41100020-0330,124.39
0000760,160913-41100021-0160,81.27
0000762,160913-41100022-0010,102.84
0000767,160913-41100023-0110,81.27
0000768,160913-41100023-0120,81.27
0000769,160913-41100023-0150,81.27
0000771,160913-41100023-0220,81.27
0000774,160913-41100024-0010,102.84
0000775,160913-41100024-0060,81.27
0000776,160913-41100024-0070,81.27
0000777,160913-41100024-0080,81.27
0000821,170814-68770000-0230,101.43
0000842,181013-00004654-0200,136.44
0000917,201013-47170000-0280,136.44
0001174,251013-497000A3-0210,70.13
0001183,251013-497000B1-0240,70.13
0001184,251013-497000B1-0300,70.13
0001186,251013-497000B2-0180,70.13
0001188,251013-497000B2-0240,70.13
0001189,251013-497000B2-0290,70.13
0001191,251013-497000B3-0080,70.13
0001193,251013-497000B3-0220,70.13
0001194,251013-497000B3-0270,70.13
0001197,251013-497000B4-0140,70.13
0001198,251013-497000B4-0150,72.22
0001199,251013-497000B4-0180,70.13
0001200,251013-497000B4-0220,70.13
0001201,251013-497000B4-0280,70.13
0001203,251013-497000B5-0050,70.13
0001204,251013-497000B5-0060,70.13
0001205,251013-497000B5-0180,70.13
0001207,251013-497000B5-0200,70.13
0001209,251013-497000B6-0020,70.13
0001213,251013-497000B6-0110,70.13
0001214,251013-497000B6-0120,70.13
0001216,251013-497000C1-0010,70.13
0001217,251013-497000C1-0270,70.13
0001218,251013-497000C2-0030,70.13
0001220,251013-497000C2-0070,70.13
0001221,251013-497000C2-0080,70.13
0001222,251013-497000C2-0090,70.13
0001224,251013-497000C2-0130,70.13
0001225,251013-497000C2-0140,70.13
0001227,251013-497000C2-0170,70.13
