RA_ITEMID	ADVNUM	PARCEL	FACEVALUE	BID
6435973	000001	1324N4W0000003220300	422.63	
6435974	000002	1324N4W0000004200000	41.14	
6435975	000003	1334N4W0000004210500	400.94	
6435976	000004	1344N4W0000004330000	307.22	
6435977	000005	1344N4W0000004330400	189.09	
6435978	000006	1344N4W0000004430000	1168.66	
6435982	000010	1354N4W0000003410500	494.74	
6435983	000011	1354N4W0000003410600	302.71	
6435985	000013	1354N4W0000003410900	1132.36	
6435986	000014	1354N4W0000003420100	313.62	
6435987	000015	1354N4W0000003430000	217.87	
6435988	000016	1314N5W0000001430300	530.79	
6435989	000017	1314N5W0000004120300	706.75	
6435990	000018	1324N5W0000004311500	696.45	
6435991	000019	1334N5W0000002130000	1184.95	
6435992	000020	1334N5W0000003220100	404.84	
6435993	000021	1334N5W0000003220400	373.49	
6435994	000022	1334N5W0000004310100	507.64	
6435995	000023	1334N5W0000004330200	303.52	
6435996	000024	1344N5W0000001330100	833.82	
6435997	000025	1344N5W0000002330200	92.13	
6435998	000026	1334N6W0000001230100	902.17	
6435999	000027	1334N6W0000001310400	117.93	
6436000	000028	1334N6W0000001310900	313.24	
6436001	000029	1334N6W0000001340100	268.39	
6436002	000030	1334N6W0000001341000	493.93	
6436003	000031	1334N6W0000001341100	2738.7	
6436005	000033	1334N6W0000001341300	1712.81	
6436006	000034	1334N6W0000002121400	589.55	
6436007	000035	1334N6W0000002130400	505.8	
6436009	000037	1334N6W0000002131100	487.45	
6436012	000040	1334N6W0000002131500	740.95	
6436013	000041	1334N6W0000002131900	89.86	
6436014	000042	1334N6W0000002132000	293.69	
6436015	000043	1334N6W0000002132200	4379.39	
6436016	000044	1334N6W0000002132500	133.9	
6436017	000045	1334N6W0000002132700	75.27	
6436018	000046	1334N6W0000002133000	456.67	
6436019	000047	1334N6W0000002240100	424.62	
6436020	000048	1334N6W0000002240200	688.22	
6436023	000051	1334N6W0000002310700	410.68	
6436024	000052	1334N6W0000002420400	631.98	
6436025	000053	1334N6W0000003130400	936.04	
6436026	000054	1334N6W0000003410200	123.49	
6436027	000055	1334N6W0000003410400	55.46	
6436028	000056	1334N6W0000003410500	55.46	
6436029	000057	1334N6W0000003410600	55.46	
6436030	000058	1334N6W0000003410700	2171.82	
6436031	000059	1334N6W0000003410900	67.95	
6436032	000060	1334N6W0000004330100	944.72	
6436033	000061	1334N6W0020000000020	630.02	
6436034	000062	1334N6W0020000000100	1057.34	
6436035	000063	1334N6W0020000000160	1541.18	
6436036	000064	1334N6W0020000000190	1078.25	
6436037	000065	1334N6W0020000000750	573.22	
6436039	000067	1334N6W0020000000830	859.08	
6436040	000068	1334N6W0020000001170	943.92	
6436042	000070	1334N6W0040000010010	2282.22	
6436045	000073	1334N6W0050000000060	52.3	
6436047	000075	1334N6W0050000000072	601.66	
6436049	000077	1334N6W0050000000510	934.97	
6436050	000078	1334N6W0050000000520	149.18	
6436052	000080	1334N6W0050000000550	136.68	
6436053	000081	1334N6W0050000000621	600.38	
6436054	000082	1334N6W0050000000670	494.02	
6436055	000083	1334N6W0050000000680	124.19	
6436056	000084	1334N6W0050000000690	124.19	
6436057	000085	1334N6W0050000000700	124.19	
6436059	000087	1334N6W0060000000020	2265.14	
6436060	000088	1334N6W0060000000060	7412.2	
6436063	000091	1334N6W0080000020010	1277.9	
6436064	000092	1334N6W0080000020040	200.68	
6436065	000093	1334N6W0080000050060	240.57	
6436066	000094	1334N6W0080000050080	200.68	
6436067	000095	1334N6W0080000060050	1266.14	
6436068	000096	1334N6W00900000A0110	195.06	
6436069	000097	1334N6W00900000A0120	149.18	
6436070	000098	1334N6W00900000B0010	149.18	
6436072	000100	1334N6W0110000010020	693.91	
6436073	000101	1334N6W0110000010140	369.48	
6436074	000102	1334N6W0110000010160	515.04	
6436076	000104	1334N6W0110000010230	157.09	
6436077	000105	1334N6W0110000010240	856.57	
6436078	000106	1334N6W0110000020030	1121.3	
6436083	000111	1334N6W01200000C0020	200.68	
6436084	000112	1334N6W0130000000060	1749.2	
6436088	000116	1334N6W0130000000260	1213.93	
6436089	000117	1334N6W01500000B0070	983.24	
6436090	000118	1364N6W0000001410500	1027.43	
6436091	000119	1364N6W0000001420100	810.66	
6436092	000120	1364N6W0000002340200	1788.81	
6436093	000121	1364N6W0000003331600	97.55	
6436099	000127	2063N1W15050000B0100	1487.51	
6436100	000128	2063N1W15070000A0160	406.26	
6436101	000129	2063N1W15070000A0180	440.02	
6436102	000130	2063N1W15070000A0280	1345.18	
6436104	000132	2063N1W15070000B0220	572.56	
6436105	000133	2063N1W15070000B0240	348.7	
6436106	000134	2063N1W15070000B0250	426.93	
6436108	000136	2063N1W15070000B0400	394.82	
6436111	000139	2073N1W0000003100000	4184.95	
6436113	000141	2073N1W0000004123500	359.96	
6436114	000142	2073N1W3106100000010	214.1	
6436115	000143	2083N1W0000002300200	5452.34	
6436117	000145	2103N1W0000004320100	1027.96	
6436118	000146	2103N1W0000004440100	1504.8	
6436120	000148	2153N1W0000002310100	1957.4	
6436123	000151	2153N1W0000002310700	179.14	
6436124	000152	2173N1W0000003140200	797.07	
6436125	000153	2173N1W0000003210800	97.63	
6436126	000154	2173N1W0000003310200	3030.51	
6436127	000155	2173N1W0000004240100	1120.27	
6436128	000156	2173N1W0000004240400	970.68	
6436130	000158	2183N1W0000004120100	157.34	
6436131	000159	2183N1W0000004120200	91.68	
6436133	000161	2183N1W0000004140400	4973.78	
6436134	000162	2193N1W0000001440500	1123.15	
6436135	000163	2193N1W0000004240300	602.28	
6436136	000164	2193N1W0000004310110	871.13	
6436140	000168	2203N1W0000003310700	554.21	
6436141	000169	2203N1W0000003310800	1309.25	
6436142	000170	2293N1W0000003100200	903.76	
6436143	000171	2293N1W0000003100300	1012.28	
6436144	000172	2293N1W0000003113200	956.53	
6436146	000174	2293N1W0000003420100	803.16	
6436148	000176	2293N1W0000003441900	300.54	
6436149	000177	2293N1W0000003442200	339.53	
6436150	000178	2303N1W0000001430100	909.3	
6436151	000179	2303N1W0000002110020	41.97	
6436152	000180	2303N1W0000002110100	399.57	
6436153	000181	2303N1W0000002230000	165.3	
6436154	000182	2303N1W0000002230100	165.3	
6436155	000183	2303N1W0000004411000	104.19	
6436156	000184	2303N1W0000004430500	280.14	
6436157	000185	2313N1W0000001140300	201.02	
6436158	000186	2313N1W0000003302000	230.58	
6436159	000187	2013N2W0000003240100	128.25	
6436160	000188	2013N2W0000004210100	799.73	
6436161	000189	2013N2W01780000A0070	519.95	
6436163	000191	2023N2W0000003430500	692.01	
6436165	000193	2063N2W0000002300100	1425.82	
6436166	000194	2063N2W0000003200300	862.08	
6436167	000195	2073N2W0000003330200	219.04	
6436168	000196	2073N2W0000004130300	286.98	
6436169	000197	2083N2W0000001220200	119.9	
6436170	000198	2083N2W0000001220300	208.42	
6436171	000199	2083N2W0000001221200	153.87	
6436173	000201	2083N2W0000001320800	2099.44	
6436174	000202	2083N2W0000001321000	321.6	
6436175	000203	2083N2W0000001330100	81.04	
6436178	000206	2083N2W01530000A0042	432.3	
6436179	000207	2083N2W01530000A0110	905.23	
6436180	000208	2083N2W01530000A0140	130.8	
6436182	000210	2083N2W01530000B0010	601.54	
6436183	000211	2083N2W01530000B0060	132.86	
6436184	000212	2093N2W0000001210200	181.76	
6436185	000213	2093N2W0000001430300	66.82	
6436186	000214	2093N2W0000001430700	254.88	
6436187	000215	2093N2W0000004210500	521.16	
6436189	000217	2093N2W0000004330100	999.72	
6436191	000219	2103N2W0000002122000	647.15	
6436193	000221	2113N2W0000002130100	303.38	
6436194	000222	2113N2W0000002130400	196.4	
6436197	000225	2113N2W0000003300100	3444.48	
6436198	000226	2113N2W0000004210000	986.45	
6436200	000228	2113N2W0000004315100	615.33	
6436201	000229	2113N2W0000004315200	477.03	
6436202	000230	2113N2W0000004316000	299.49	
6436203	000231	2113N2W0000004317000	278.17	
6436204	000232	2113N2W7040000000030	201.5	
6436205	000233	2113N2W7040000000050	201.5	
6436206	000234	2123N2W0000003100100	1512.9	
6436207	000235	2123N2W0000003100300	1193.72	
6436208	000236	2123N2W0000003300300	2039.42	
6436209	000237	2123N2W0000003300800	1241.75	
6436210	000238	2123N2W0000003301000	1599.48	
6436211	000239	2133N2W0000001140400	275.45	
6436215	000243	2133N2W0000001430300	900.44	
6436216	000244	2133N2W0000001440500	1123.82	
6436217	000245	2133N2W0000001440600	236.52	
6436218	000246	2133N2W0000001440900	265.91	
6436219	000247	2133N2W0000003210400	280.05	
6436220	000248	2133N2W0000003310200	3163.65	
6436221	000249	2133N2W0000004110300	167.36	
6436222	000250	2133N2W0000004130100	701.84	
6436223	000251	2133N2W0000004140200	344.58	
6436224	000252	2133N2W0000004240100	522.29	
6436226	000254	2143N2W0000001340100	587.29	
6436228	000256	2143N2W0000001440500	501.04	
6436229	000257	2143N2W0000002310600	3155.53	
6436230	000258	2143N2W0000003110500	374.3	
6436231	000259	2143N2W0000004130200	242	
6436232	000260	2143N2W0000004130600	156.59	
6436233	000261	2143N2W0000004240200	223.32	
6436234	000262	2143N2W0000004340300	1045.36	
6436235	000263	2143N2W0000004340400	131.51	
6436237	000265	2143N2W0000004420200	167.17	
6436240	000268	2143N2W01550000B0100	1024.72	
6436241	000269	2143N2W01550000B0140	380.35	
6436242	000270	2153N2W0000002111000	950.84	
6436243	000271	2153N2W0000002122000	686.98	
6436244	000272	2153N2W0000002123000	977.34	
6436245	000273	2203N2W0000001200000	4320.8	
6436246	000274	2213N2W0000001330000	178.42	
6436249	000277	2223N2W0000001410000	446.75	
6436250	000278	2223N2W0000001420200	3390.03	
6436251	000279	2223N2W0000001440100	893.96	
6436252	000280	2223N2W0000002130500	56.64	
6436253	000281	2223N2W0000004240100	747.67	
6436254	000282	2223N2W0000004340000	804.13	
6436255	000283	2223N2W0160000010100	194.58	
6436256	000284	2223N2W0160000040080	570.45	
6436257	000285	2223N2W0160000060050	171.88	
6436258	000286	2223N2W0160000090010	118.22	
6436259	000287	2223N2W0160000090020	904.45	
6436260	000288	2223N2W0160000090050	118.22	
6436261	000289	2223N2W0175000000091	531.94	
6436262	000290	2223N2W0175000000140	682.15	
6436263	000291	2223N2W0175000000150	294.98	
6436264	000292	2223N2W0175000000160	3292.17	
6436265	000293	2233N2W9440000000020	515.22	
6436266	000294	2233N2W9540000000040	1379.72	
6436267	000295	2233N2W9610000000050	940.64	
6436268	000296	2243N2W0000002310000	1210.38	
6436269	000297	2243N2W0000003440400	425.64	
6436270	000298	2253N2W0000004310000	350.09	
6436271	000299	2253N2W0000004400000	647.99	
6436272	000300	2253N2W0163000000220	2973.56	
6436273	000301	2253N2W0163000000340	1772.66	
6436274	000302	2253N2W0163000000370	2377.97	
6436277	000305	2263N2W0000003220600	16541.53	
6436279	000307	2263N2W01700000D0100	560.56	
6436280	000308	2263N2W01700000D0140	620.96	
6436281	000309	2263N2W02000000C0070	1977.08	
6436282	000310	2263N2W02000000E0050	979.98	
6436283	000311	2263N2W02010000A0090	621.3	
6436286	000314	2263N2W02100000B0030	823.07	
6436288	000316	2263N2W02100000B0310	549.92	
6436289	000317	2263N2W02100000B0610	596.81	
6436290	000318	2263N2W02100000C0210	174.02	
6436291	000319	2263N2W02100000C0450	679.19	
6436292	000320	2263N2W02100000C0470	250.23	
6436293	000321	2263N2W02100000D0180	94.55	
6436294	000322	2263N2W02100000I0010	1307.73	
6436295	000323	2263N2W02100000I0070	807.24	
6436296	000324	2263N2W02100000I0090	154.41	
6436297	000325	2263N2W02100000I0250	1150.69	
6436298	000326	2263N2W02100000I0290	337.13	
6436299	000327	2263N2W02100000I0380	164.89	
6436300	000328	2263N2W02100000J0220	255.86	
6436302	000330	2263N2W02100000K0110	705.15	
6436304	000332	2263N2W02100000L0150	157.85	
6436307	000335	2263N2W15400000C0170	461.45	
6436308	000336	2263N2W15400000C0190	461.45	
6436309	000337	2263N2W15400000C0200	461.45	
6436310	000338	2263N2W15400000C0210	461.45	
6436311	000339	2263N2W15400000F0040	461.45	
6436312	000340	2263N2W15420000A0100	2710.82	
6436313	000341	2263N2W15420000C0020	5315.49	
6436314	000342	2263N2W15420000C0110	728.76	
6436315	000343	2263N2W15420000C0120	728.76	
6436316	000344	2263N2W15420000C0130	728.76	
6436317	000345	2263N2W15420000E0250	728.76	
6436318	000346	2273N2W0000001320100	921.34	
6436319	000347	2273N2W0000004420900	191.15	
6436320	000348	2273N2W0000004440100	1063.05	
6436321	000349	2273N2W0220000080010	2386.46	
