AdvNum,Parcel,Face Amount
0000013,130714-0380000C-0190,157.88
0000029,010814-00000021-0000,274.31
0000075,160814-0162000A-0280,158.84
0000110,250814-00000036-0000,226.19
0000111,250814-00000036-0010,220.45
0000173,360814-00210000-0200,601.31
0000189,080914-0023000A-0200,80.57
0000194,080914-0023000A-0530,184.18
0000197,080914-0023000E-0220,117.04
0000198,080914-0023000E-0240,169.28
0000199,080914-0023000E-0420,117.04
0000228,170914-0024000A-0060,74.36
0000265,021014-00000004-0028,309.15
0000282,181014-00260001-0110,68.23
0000283,181014-00260004-0030,55.38
0000284,181014-00260004-0040,81.29
0000286,181014-00260005-0010,289.74
0000287,181014-00260007-0030,55.38
0000288,181014-00260007-0090,81.29
0000292,181014-00260010-0030,55.38
0000294,181014-00260010-0230,70.74
0000296,181014-00260012-0030,81.29
0000301,181014-00260012-0120,113.66
0000302,181014-00260012-0230,68.34
0000303,181014-00260013-0030,81.29
0000304,181014-00260013-0090,100.72
0000305,181014-00260013-0120,81.29
0000308,181014-00270008-0090,151.12
0000309,181014-00270008-0100,151.12
0000310,181014-00270008-0250,82.23
0000311,181014-00270008-0260,51.83
0000312,181014-00270009-0010,62.49
0000313,181014-00270009-0160,281.77
0000315,181014-00270009-0250,62.49
0000317,181014-00270010-0020,48.39
0000323,181014-00270018-0010,101.98
0000324,181014-00270020-0110,62.49
0000325,181014-00270022-0090,72.36
0000327,181014-00270025-0130,42.74
0000337,201014-00000020-0023,248.27
0000345,201014-02810001-0230,429.63
0000347,201014-02810001-0250,325.26
0000348,201014-02810001-0260,429.43
0000349,201014-02810001-0270,299.65
0000350,201014-02810001-0300,271.09
0000351,201014-02810001-0320,271.09
0000352,201014-02810001-0330,299.65
0000356,201014-02810004-0010,135.62
0000357,201014-02810004-0020,225.76
0000358,201014-02810004-0040,265.4
0000359,201014-02810004-0050,265.4
0000381,201014-0367000E-0070,126.97
0000382,201014-0367000E-0090,126.97
0000383,201014-0367000F-0060,74.98
0000384,201014-0367000F-0120,74.98
0000385,211014-00040000-0090,188.27
0000391,260615-03500000-0010,211.51
0000392,260615-03500000-0020,211.51
0000393,320615-00650330-0000,324.91
0000394,320615-00650480-00A1,372.37
0000402,350615-07200000-0060,154.94
0000404,350615-07200000-0180,242.88
0000406,360615-0086000B-0050,244.61
0000415,360615-0086000F-0100,221.84
0000417,010715-00000005-0000,68.18
0000418,010715-00000006-0000,56.88
0000429,050715-00310000-0230,158.69
0000451,090715-00770000-0350,45.98
0000452,090715-00770000-0360,45.98
0000453,090715-00770000-0410,45.98
0000454,090715-00770000-0440,45.98
0000457,090715-00770000-0610,45.98
0000459,090715-00770000-0720,45.98
0000464,090715-00770000-0960,45.98
0000465,090715-00770000-1000,45.98
0000466,090715-00770000-1020,114.9
0000478,110715-00000012-0061,271.67
0000491,140715-00000001-0010,184.35
0000508,300715-00000007-0001,39.28
0000519,320715-00360000-00M0,793.58
0000555,050815-03600010-0040,204.83
0000556,050815-03600010-0150,298.78
0000565,070815-02290000-0010,73.17
0000570,180815-00000023-0000,218.69
0000616,091015-01080000-0010,189.32
0000617,091015-01080000-0020,189.32
0000618,091015-01080000-0030,189.32
0000619,091015-01080000-0040,178.14
0000620,091015-01080000-0050,178.14
0000621,091015-01080000-0060,178.14
0000622,091015-01080000-0070,178.14
0000624,091015-01080000-0280,221.15
0000642,091015-01080000-1170,282.75
0000645,091015-01080000-1350,211.7
0000646,091015-01080000-1380,362.65
0000651,101015-03570000-0001,74.63
0000666,161015-0038000A-0230,134.71
0000681,161015-0038000C-0190,551.42
0000685,161015-0038000D-0220,589.42
0000686,161015-0038000D-0230,606.67
0000687,161015-00390000-0050,390.48
0000691,161015-0042000E-0030,363.5
0000723,161015-00480040-0061,100.85
0000725,161015-00480043-0020,217.65
0000727,161015-00480046-0040,217.65
0000731,161015-00480058-0021,217.65
0000734,171015-00000014-0000,276.21
0000735,171015-00490004-0040,121.92
0000738,171015-00490006-0040,106.46
0000740,171015-00490008-0040,444.58
