RA_ITEMID	ADVNUM	PARCEL	FACEVALUE	BID
6351076	000003	222601-000010-000260	1390.97	
6351078	000005	222602-000000-013010	37.89	
6351080	000007	222602-000000-013110	45.73	
6351081	000008	222602-000000-013180	113.21	
6351082	000009	222602-000000-013200	112.82	
6351083	000010	222602-000000-013250	45.58	
6351084	000011	222602-000000-013260	45.62	
6351088	000015	222602-000000-031030	221.68	
6351089	000016	222602-000000-031040	113.28	
6351090	000017	222602-000000-031080	45.45	
6351091	000018	222602-000000-031160	45.46	
6351092	000019	222602-000000-031180	45.48	
6351093	000020	222602-000000-031270	45.45	
6351094	000021	222602-000000-032010	45.48	
6351097	000024	222602-000000-033020	257.96	
6351098	000025	222602-000000-033030	884.53	
6351099	000026	222602-000000-033040	158.73	
6351100	000027	222602-000000-033050	45.38	
6351101	000028	222602-000000-033180	45.58	
6351102	000029	222602-000000-033220	45.25	
6351103	000030	222602-000000-033280	45.45	
6351105	000032	222602-000000-034090	45.46	
6351107	000034	222602-000000-034130	45.48	
6351108	000035	222602-000000-034180	45.45	
6351109	000036	222602-000000-034230	45.45	
6351110	000037	222602-000000-034270	45.45	
6351111	000038	222602-000000-034290	45.48	
6351112	000039	222602-000000-041030	37.99	
6351113	000040	222602-000000-041130	45.8	
6351114	000041	222602-000000-042050	45.85	
6351115	000042	222602-000000-042080	45.88	
6351117	000044	222602-000000-043210	45.8	
6351118	000045	222602-000000-044010	45.92	
6351119	000046	222602-000000-044020	45.92	
6351121	000048	222602-000000-044080	45.88	
6351122	000049	222602-000000-044260	45.85	
6351123	000050	222603-000000-023010	161.68	
6351124	000051	222603-000000-024010	1356.79	
6351125	000052	222603-000000-024020	949.32	
6351126	000053	222603-000000-031040	1066.81	
6351127	000054	222603-000000-041050	97.62	
6351128	000055	222610-000000-011010	12086.25	
6351129	000056	222610-000000-021100	45.76	
6351131	000058	222610-000000-021140	45.73	
6351134	000061	222610-000000-021190	45.76	
6351135	000062	222610-000000-021200	45.73	
6351137	000064	222610-000000-022070	45.73	
6351138	000065	222611-000000-033010	61.55	
6351139	000066	222611-000000-033020	45.88	
6351140	000067	222611-000000-033070	45.92	
6351141	000068	222611-000000-033300	45.88	
6351142	000069	222611-000000-034150	45.85	
6351143	000070	222611-000000-034290	77.2	
6351145	000072	222612-000050-000120	1579.05	
6351146	000073	222612-000050-000170	233.52	
6351148	000075	222615-000000-011020	45.46	
6351149	000076	222615-000000-011030	45.5	
6351150	000077	222615-000000-011050	45.46	
6351151	000078	222615-000000-011060	45.45	
6351154	000081	222615-000000-011290	45.46	
6351156	000083	222615-000000-013030	60.93	
6351158	000085	222615-000000-013110	45.56	
6351159	000086	222615-000000-013150	45.52	
6351160	000087	222615-000000-013170	45.56	
6351161	000088	222615-000000-013180	45.5	
6351162	000089	222615-000000-013210	45.56	
6351163	000090	222615-000000-014030	45.62	
6351164	000091	222615-000000-014130	45.62	
6351165	000092	222615-000000-014160	45.56	
6351167	000094	222615-000000-021210	45.48	
6351170	000097	222615-000000-022040	45.56	
6351171	000098	222615-000000-022120	45.56	
6351172	000099	222615-000000-022150	45.56	
6351173	000100	222615-000000-022170	45.48	
6351174	000101	222615-000000-022180	45.52	
6351176	000103	222615-000000-022290	45.5	
6351179	000106	222615-000000-024020	45.56	
6351180	000107	222615-000000-024160	45.62	
6351181	000108	222615-000000-024250	45.63	
6351184	000111	222615-000000-031130	45.63	
6351185	000112	222615-000000-031140	45.68	
6351187	000114	222615-000000-032020	45.68	
6351190	000117	222615-000000-032070	45.71	
6351191	000118	222615-000000-032100	45.63	
6351193	000120	222615-000000-032270	45.68	
6351194	000121	222615-000000-032300	45.63	
6351197	000124	222615-000000-033260	45.71	
6351198	000125	222615-000000-033300	45.71	
6351199	000126	222615-000000-034070	45.76	
6351203	000130	222615-000000-041060	45.71	
6351204	000131	222615-000000-041180	45.71	
6351205	000132	222615-000000-041220	45.68	
6351206	000133	222615-000000-041310	45.68	
6351207	000134	222615-000000-042240	42.91	
6351209	000136	222615-000000-043030	45.73	
6351210	000137	222615-000000-044040	54.89	
6351212	000139	222615-000000-044130	45.78	
6351214	000141	222622-000000-031060	72.93	
6351217	000144	222622-000000-033180	45.58	
6351218	000145	222622-000000-033280	45.56	
6351219	000146	222622-000000-033290	45.56	
6351221	000148	232601-000000-011110	1425.77	
6351222	000149	232601-000000-012040	1009.8	
6351223	000150	232601-000000-012050	868.92	
6351225	000152	232601-000000-012080	362.98	
6351227	000154	232601-000000-014040	1615.58	
6351229	000156	232601-000000-014130	1203.65	
6351231	000158	232601-000000-023010	609.2	
6351232	000159	232601-000000-042020	1745.33	
6351234	000161	232601-000000-042060	1580.96	
6351235	000162	232601-000000-042070	633.67	
6351236	000163	232601-000000-042120	1871.53	
6351240	000167	232601-000350-000460	779.29	
6351242	000169	232601-000351-000200	545.99	
6351243	000170	232601-000352-000010	3280.52	
6351244	000171	232601-000352-000040	2090.79	
6351245	000172	232612-000375-000120	189.19	
6351246	000173	232612-000375-000270	292.59	
6351247	000174	232612-000375-000431	577.94	
6351249	000176	232612-000375-000540	734.82	
6351250	000177	232612-000375-000610	1799.6	
6351251	000178	232612-000375-000680	763.5	
6351252	000179	232612-000375-000760	2501.78	
6351256	000183	232612-000375-000920	3351.82	
6351257	000184	232612-000375-001160	2699.6	
6351259	000186	232614-000386-000140	336.03	
6351260	000187	232614-000386-000180	1034.99	
6351261	000188	232614-000386-000190	275.89	
6351265	000192	232614-000386-000320	2065.51	
6351266	000193	232614-000387-000020	600.46	
6351267	000194	232614-000387-000140	1606.47	
6351269	000196	232614-000387-000290	1570.41	
6351273	000200	232614-000389-000010	550.82	
6351274	000201	232614-000389-000050	556.53	
6351278	000205	232615-000395-000110	1103.02	
6351279	000206	232615-000395-000120	2259.8	
6351281	000208	232615-000396-000500	1236.19	
6351282	000209	232615-000396-000580	2141.53	
6351283	000210	232615-000396-000700	850.61	
6351284	000211	232615-000396-000710	1335.14	
6351285	000212	232615-000396-000750	2627.51	
6351287	000214	232615-000396-000820	550.82	
6351288	000215	232615-000396-000830	687.07	
6351291	000218	232615-000396-001190	3804.74	
6351292	000219	232615-000396-001210	1628.78	
6351293	000220	232615-000396-001340	2207.16	
6351294	000221	232615-000396-001370	2640.95	
6351297	000224	232616-000400-004053	1278.88	
6351298	000225	232616-000400-004071	2017.99	
6351299	000226	232616-000400-005013	1011.3	
6351300	000227	232617-000000-022080	1614.06	
6351301	000228	232617-000000-022110	3772	
6351302	000229	232617-000000-024010	583.74	
6351304	000231	232617-000000-024040	1730.82	
6351305	000232	232617-000000-044010	1634.75	
6351306	000233	232617-000000-044040	2480.46	
6351309	000236	232618-000450-000010	1018.55	
6351311	000238	232618-000450-000320	899.31	
6351312	000239	232618-000450-000330	657.64	
6351313	000240	232618-000450-000340	995.17	
6351314	000241	232619-000000-011040	3090.46	
6351315	000242	232619-000000-011070	1899.14	
6351316	000243	232619-000000-011090	1493.97	
6351317	000244	232619-000000-013010	828.38	
6351318	000245	232619-000000-013080	1006.2	
6351319	000246	232619-000000-013180	1243.9	
6351320	000247	232619-000000-022030	3147.21	
6351321	000248	232619-000000-022050	51.44	
6351322	000249	232620-000000-033010	88.98	
6351325	000252	232621-000000-022020	453.41	
6351330	000257	232621-000000-041070	2403.48	
6351331	000258	232621-000000-042030	3860.58	
6351334	000261	232621-000000-042060	1001.64	
6351335	000262	232621-000000-043040	139.37	
6351337	000264	232622-000000-023010	1471.2	
6351339	000266	232622-000000-024050	550.82	
6351340	000267	232622-000000-024090	1988.14	
6351341	000268	232622-000000-024110	1171.14	
6351346	000273	232622-000000-043050	1720.83	
6351348	000275	232622-000521-000100	1890.4	
6351352	000279	232623-000550-000130	1539.65	
6351354	000281	232623-000550-000490	531.19	
6351358	000285	232623-000551-000250	2070.84	
6351359	000286	232623-000551-000270	973.04	
6351360	000287	232625-000580-000060	922.44	
6351366	000293	232625-000580-000620	679.31	
6351367	000294	232625-000580-000630	2820.41	
6351368	000295	232625-000580-000640	776.87	
6351369	000296	232625-000580-000690	2264.65	
6351370	000297	232625-000580-000820	723.98	
6351372	000299	232625-000580-000890	1914.54	
6351375	000302	232625-000580-001110	776.6	
6351376	000303	232625-000580-001120	788.4	
6351378	000305	232625-000580-001340	850.37	
6351379	000306	232625-000580-001380	1088.04	
6351380	000307	232625-000580-001420	746.5	
6351381	000308	232625-000580-001470	564.74	
6351382	000309	232625-000580-001480	1429.52	
6351383	000310	232625-000580-001540	2683.17	
6351385	000312	232625-000580-001740	1735.99	
6351386	000313	232625-000580-001760	1213.4	
6351387	000314	232626-000600-000240	1045.41	
6351388	000315	232626-000600-000260	1835.32	
6351389	000316	232626-000600-000610	1083.79	
6351390	000317	232626-000600-000620	744.14	
6351393	000320	232626-000600-000770	972.44	
6351394	000321	232626-000600-000790	1593.91	
6351396	000323	232626-000610-000021	2498.65	
6351397	000324	232626-000610-000060	889.73	
