AdvNum,Parcel,Face Amount
0000463,232703-000000-043140,67.1
0000475,232705-000000-021060,53.79
0000493,232708-000000-021060,44.81
0000558,232712-000000-023120,40.75
0000562,232712-000000-032290,44.28
0000588,232713-000000-022370,62.86
0000816,232720-000000-024370,133.98
0000818,232720-000000-024440,148.85
0000867,232721-005500-000040,386.43
0000927,232724-000000-034054,43.62
0001172,232733-000000-014036,66.7
0001189,232733-000000-032031,74.65
0001230,232735-000000-012130,291.76
0001341,232736-016026-000790,256.16
0001348,232801-000000-021010,43.8
0001385,232802-019000-003190,2281.7
0001390,232802-020501-000022,118.34
0001466,232808-024500-000110,49.67
0001467,232808-024500-000301,40.25
0001512,232810-000000-023028,63.72
0001566,232811-029500-002032,60.76
0001586,232811-031500-001150,226.68
0001594,232811-032000-001102,110.74
0001648,232811-035000-000051,187.34
0001654,232811-035000-000630,157.17
0001723,232812-038000-002020,178.15
0001728,232812-038000-003010,188.34
0001736,232812-038000-006010,56.45
0001746,232812-040000-004090,137.63
0001753,232812-040000-005260,449.95
0001756,232812-040000-006060,960.99
0001762,232812-040000-006300,1973.74
0001810,232812-044500-001090,68.7
0001811,232812-044500-001100,68.7
0001823,232812-044500-011150,569.73
0001886,232812-050500-001071,118
0001895,232812-050500-010031,2003.66
0001896,232812-050500-010032,2319.22
0001898,232812-050500-011011,2891.46
0001907,232812-051000-001013,235.57
0001916,232812-051500-002051,144.11
0001921,232812-051500-006022,130.17
0001941,232812-053500-001042,1905.86
0001981,232812-056500-002072,148.92
0001983,232812-056500-003032,486.41
0002015,232813-062500-005022,69.2
0002037,232813-067500-006072,3119.69
0002059,232813-074500-001081,1055.43
0002067,232813-074500-009122,161.25
0002073,232813-076000-002071,49.4
0002103,232814-078000-003018,61.12
0002119,232814-078500-008121,10092.16
0002182,232814-082000-000771,54.62
0002190,232814-083500-006201,54.07
0002191,232814-083500-006230,47.45
0002225,232815-000000-013250,114.22
0002234,232815-085500-000401,36.36
0002319,232817-086500-000107,51.72
0002392,232821-000000-034060,459.97
0002503,232822-093500-014150,672.02
0002510,232822-094000-001291,180.65
0002551,232823-095500-000423,45.31
0002558,232823-097500-003032,164.11
0002568,232823-099000-005090,240.96
0002570,232823-099000-005130,240.96
0002612,232823-102500-005020,2165.69
0002622,232823-102500-010130,2271.03
0002634,232823-105500-005040,92.34
0002878,232825-000000-034030,84.18
0002896,232825-126000-000102,142.83
0002898,232825-126000-000183,108.59
0002899,232825-126000-000252,37.67
0002919,232825-130500-001021,51.14
0002992,232832-000000-024020,49.53
0003236,232906-000000-042040,60.15
0003247,232907-000000-023010,37.22
0003328,232912-000000-023370,36.94
0003329,232912-000000-033250,92.33
0003332,232912-000000-033540,91.83
0003376,232913-140300-000022,55.18
0003407,232914-000000-011880,38.34
0003433,232914-141000-000140,168.9
0003446,232914-141520-000180,91.38
0003451,232914-141520-000391,45.73
0003537,232919-000000-012270,98.96
0003678,232925-000000-043030,37.52
0003680,232926-000000-013100,71.33
0003685,232926-000000-044010,62.78
0003860,232933-000000-032420,48.19
0003905,232933-142383-000750,382.25
0003939,232934-000000-021070,75.46
0003942,232934-000000-022030,75.46
0003943,232934-000000-023020,48.48
0003947,232934-000000-042060,39.47
0003951,232934-000000-042310,206.57
0003960,232934-142463-000070,57.95
0003961,232934-142464-000112,57.95
0003966,232935-000000-024030,438.3
0003967,232935-000000-031020,64.37
0003976,233001-000000-042010,73.36
0003977,233001-000000-042150,42.28
0003986,233001-142480-012042,112.63
0004017,233002-000000-022240,276.99
0004052,233002-151000-005010,143.8
0004055,233002-152500-006050,40.89
0004058,233002-153000-003250,58.86
0004062,233002-153500-004062,127.5
0004068,233002-154000-002022,128.54
0004071,233002-154000-002042,156.14
0004072,233002-154000-002100,80.19
0004075,233002-154000-002124,41.29
0004114,233009-000000-034150,70.95
0004130,233011-000000-032160,102.89
0004136,233011-156000-004231,113.08
0004160,233012-000000-011010,1048.32
0004175,233012-000000-031850,105.55
0004196,233016-000000-013190,71.99
0004200,233016-000000-014220,94.26
0004241,233111-000000-041040,38.41
0004263,233111-157000-021050,94.88
0004270,233111-158500-002030,148.27
0004271,233111-158500-004010,47.06
0004276,233111-158500-007121,131.58
0004278,233111-158500-007141,137.23
0004279,233111-158500-007142,129.42
0004282,233111-158500-007164,66.76
0004285,233111-158500-008092,83.59
0004287,233111-158500-008113,65.68
0004288,233111-158500-008123,73.57
0004291,233111-158500-010070,88.8
0004294,233111-158500-010160,88.79
0004295,233111-158500-010170,88.79
0004296,233111-158500-010180,88.79
0004297,233111-158500-010200,88.74
0004300,233111-158500-013010,88.79
0004305,233111-158501-001061,88.94
0004306,233111-158501-001062,88.94
0004310,233111-158501-001230,147.56
0004313,233111-158501-004010,147.69
0004314,233111-158501-004100,88.96
0004315,233111-158501-004150,809.75
0004316,233111-158501-004190,793.62
0004317,233111-158501-004240,89
0004320,233112-000000-044260,124.63
0004323,233112-159500-003010,91.97
0004333,233112-160300-001100,104.27
