RA_ITEMID,ADVNUM,PARCEL,FACEVALUE,BID
6414417,000001,010826000000910000,297.8,
6414418,000002,010826000001300040,1979.61,
6414419,000003,010923000000210010,453.67,
6414420,000004,010923000000300001,80.29,
6414421,000005,010923000000300022,3031.52,
6414422,000006,010923000000300100,982.33,
6414423,000007,010923000000310000,173.85,
6414424,000008,010923000000400000,281.29,
6414425,000009,010923000000500000,1224.01,
6414426,000010,010923000002200000,296.89,
6414427,000011,010923000002500000,63.77,
6414430,000014,010923000003700010,797.05,
6414431,000015,010923000003800000,629.89,
6414432,000016,010923000003800010,934.31,
6414433,000017,010923000003900000,3238.81,
6414434,000018,010923000004100000,150.47,
6414435,000019,010923000004210000,1134.92,
6414436,000020,010923000004700240,157.61,
6414437,000021,010923000005900000,1344.61,
6414438,000022,010923000006100020,784.88,
6414439,000023,010923000006300000,2014.26,
6414440,000024,010923000006800000,1946.17,
6414442,000026,010923750000900010,72.94,
6414443,000027,010924000000600022,148.89,
6414444,000028,010924000000600023,187.71,
6414445,000029,010924000000600040,633.84,
6414446,000030,010924408600000030,4144.94,
6414447,000031,010924408600000100,682.04,
6414448,000032,010924408600100070,267.88,
6414449,000033,010924408600100160,2707.14,
6414450,000034,010924408600200010,209.57,
6414452,000036,010924408600300050,202.02,
6414453,000037,010924408600300080,327.58,
6414454,000038,010924408600300130,453.2,
6414455,000039,010924408600300170,200.55,
6414456,000040,010924408600400040,203.63,
6414457,000041,010924408600400050,203.63,
6414458,000042,010924408600500020,249.6,
6414459,000043,010924408600600040,301.75,
6414460,000044,010924408600600100,1754.91,
6414461,000045,010924408600800160,89.78,
6414462,000046,010924408600800200,775.19,
6414463,000047,010924408601000060,137.5,
6414464,000048,010924408601000090,137.5,
6414465,000049,010924408601000110,293.75,
6414466,000050,010924408601000120,138.94,
6414467,000051,010924408601000230,144.87,
6414468,000052,010924408601000510,262.76,
6414469,000053,010924408601000530,164.97,
6414470,000054,010924408601000580,148.65,
6414471,000055,010924408601000590,147.38,
6414472,000056,010924408601100040,517.15,
6414473,000057,010925000000100010,288.95,
6414474,000058,010927000000600001,37.32,
6414475,000059,010927000000700000,305.43,
6414478,000062,011023574000800040,1633.18,
6414479,000063,011023574000800230,311.74,
6414481,000065,011023574000800340,715.06,
6414482,000066,011023574000800400,522.81,
6414483,000067,011023574000800460,314.72,
6414484,000068,011023574000800510,287.89,
6414485,000069,011023574000900030,607.14,
6414486,000070,011023574000900090,2813.42,
6414487,000071,011023574000900130,715.37,
6414488,000072,011023574001000120,460.51,
6414489,000073,011023574001000400,2530.55,
6414491,000075,011023951200000360,2191.13,
6414492,000076,011023951200000370,997,
6414493,000077,011023951200000420,1280.48,
6414494,000078,011023951200000430,685.41,
6414496,000080,011023951200003216,322.66,
6414497,000081,011023951200003220,171.05,
6414498,000082,011024407515900060,102.22,
6414499,000083,011024407515900070,117.55,
6414500,000084,011024407516000010,100.7,
6414501,000085,011024407516000020,100.7,
6414502,000086,011024407516000040,100.7,
6414503,000087,011024407516000050,237.81,
6414504,000088,011024407516000090,123.15,
6414505,000089,011024407516000100,104.15,
6414506,000090,011024407516000110,134.37,
6414507,000091,011024407516000120,127.64,
6414508,000092,011024407516000130,137.19,
6414509,000093,011024407516100010,103.94,
6414510,000094,011024407516100020,102.22,
6414511,000095,011024407516200110,140.25,
6414512,000096,011024407516400120,66.38,
6414513,000097,011024407516400130,101.15,
6414514,000098,011024407516400140,101.15,
6414515,000099,011024407516400200,102.22,
6414516,000100,011024407516400210,102.22,
6414517,000101,011024407516500010,109.39,
6414518,000102,011024407516500020,104.92,
6414520,000104,011024407516500070,103.61,
6414521,000105,011024407516600040,123.35,
6414523,000107,011024407519700040,99.86,
6414524,000108,011024407519700120,105.52,
6414525,000109,011024407519700170,99.86,
6414526,000110,011024407519900060,102.22,
6414527,000111,011024407520300020,99.86,
6414528,000112,011024407520300110,1416.76,
6414529,000113,011024407520400050,99.86,
6414530,000114,011024407520400130,2155.61,
6414531,000115,011024407520400150,99.86,
6414532,000116,011024407520400170,99.86,
6414533,000117,011024407520500110,103.94,
6414535,000119,011024407520500230,112.08,
6414536,000120,011024407520600040,99.86,
6414537,000121,011024407520600050,99.86,
6414538,000122,011024407520600170,332.56,
6414539,000123,011024407520600230,105.54,
6414540,000124,011024407520600310,778.11,
6414541,000125,011024407523100100,251.09,
6414542,000126,011024407523500020,366.02,
6414543,000127,011024407523600020,99.86,
6414544,000128,011024407523600030,99.86,
6414545,000129,011024407523600040,99.86,
6414546,000130,011024407523600380,99.86,
6414547,000131,011024408104000070,103.52,
6414548,000132,011024408104000120,104.45,
6414549,000133,011024408104000450,191.83,
6414550,000134,011024408104000470,104.9,
6414551,000135,011024408104900040,104.9,
6414552,000136,011024408104900240,104.9,
6414553,000137,011024408104900250,104.9,
6414554,000138,011024408104900330,104.9,
6414555,000139,011024408104900400,104.9,
6414556,000140,011024408104900440,191.46,
6414557,000141,011024408105100020,123.62,
6414558,000142,011024408105100210,113.33,
6414559,000143,011024408105300050,156.11,
6414561,000145,011024408105300150,195.43,
