AdvNum,Parcel,Face Amount
0000011,010923000002500000,63.77
0000058,010927000000600001,37.32
0000164,011024408108500170,104.9
0000165,011024408108500210,104.9
0000166,011024408108500220,104.9
0000168,011024408108700040,104.9
0000169,011024408108700070,104.9
0000170,011024408108700210,104.9
0000174,011024408109000020,113.84
0000175,011024408109000030,113.84
0000180,011024408109100020,104.9
0000181,011024408109100120,101.64
0000185,011024408109300050,104.9
0000203,011026025000200030,124.96
0000211,011026025001000150,87.64
0000217,011026025002400050,89.42
0000218,011026025002400120,145.23
0000221,011026025003100080,53.73
0000222,011026025003100110,160.66
0000223,011026025003200030,78.66
0000236,011026147000100160,90.69
0000240,011026147000200090,87.98
0000245,011026147000400060,89.42
0000246,011026147000400070,160.66
0000247,011026147000400170,160.66
0000263,011026315000200010,109.29
0000269,011026315000700091,29.91
0000273,011026315000900100,77.54
0000275,011026315001200070,77.54
0000292,011026720000500050,113.91
0000294,011026720000700090,84.81
0000296,011026720000700111,29.21
0000304,011026720001200010,89.75
0000305,011026720001300040,74.1
0000311,011026720001500160,70.74
0000312,011026720001800060,70.92
0000314,011026720001900020,70.92
0000315,011026720001900070,128.45
0000316,011026720002000010,176.77
0000319,011026720002000090,235.71
0000328,011126824000100180,61.64
0000331,011126824000100550,62.57
0000336,011126824000300240,61.64
0000342,011126824100300050,62.14
0000346,011126824100300200,62.14
0000347,011126824100300210,62.14
0000348,011126824100300220,62.14
0000349,011126824100900060,58.87
0000350,011126824101000190,61.64
0000351,011126824101000200,61.64
0000352,011126824101000210,61.64
0000353,011126824101000280,61.64
0000354,011126824101000310,61.64
0000355,011126824101000320,61.64
0000357,011126824101100170,61.64
0000358,011126824101100200,61.64
0000359,011126824101100210,59.19
0000360,011126824101100220,61.64
0000365,011126824101200220,61.64
0000366,011126824101200230,61.64
0000367,011126824101200240,61.64
0000370,011126824101300130,61.64
0000371,011126824101300140,61.64
0000373,011126824101300320,61.64
0000378,011126824101400230,61.64
0000383,011126824101500080,67.73
0000384,011126824101500090,67.73
0000385,011126824101500130,61.64
0000386,011126824101500190,61.64
0000389,011126824101700070,61.64
0000393,011126824102000110,61.64
0000399,011126824102300050,105.28
0000403,011126824102300320,61.64
0000407,011126824102600020,68.13
0000409,011126824102600060,88.33
0000412,011126824102600240,68.13
0000414,011126824102600260,68.13
0000417,011126824220100050,83.63
0000419,011126824220200010,82.69
0000422,011126824230200040,59.94
0000423,011126824230200050,61.64
0000424,011126824230200060,62.57
0000425,011126824230200080,59.94
0000458,011326491000400330,87.14
0000459,011326491000400340,87.14
0000460,011326491000400380,87.14
0000461,011326491000400860,102.8
0000462,011326491000400880,102.8
0000463,011326491000400890,102.8
0000467,011326491000700410,87.14
0000472,011326491000701390,84.49
0000487,011327200000100061,81.01
0000489,011327200000600001,89.59
0000498,011327200004700030,26.56
0000508,020923000000800171,67.57
0000514,020923000001200000,59.99
0000519,020927000000600010,51.37
0000520,020927000000600020,73.45
0000521,021023000000300000,47.88
0000535,021023765100100180,44.63
0000536,021023765100100190,44.63
0000537,021023765100100200,44.63
0000539,021023765100200110,67.22
0000540,021023765100200120,44.63
0000541,021023765100200180,37.97
0000542,021023765100200190,37.97
0000543,021023765100200200,37.97
0000544,021023765100200210,37.97
0000545,021023765100200220,37.97
0000546,021023765100200230,117.86
0000547,021023765100300040,43.42
0000548,021023765100300050,43.42
0000549,021023765100300060,43.42
0000550,021023765100300070,43.42
0000551,021023765100300120,43.42
0000552,021023765100300130,45.55
0000553,021023765100300140,47.45
0000554,021023765100400170,50.13
0000561,021023765100600010,79.54
0000562,021023765100600020,81.53
0000563,021023765100600080,49.84
0000564,021023765100600090,49.84
0000565,021023765100600100,43.42
0000566,021023765100600110,43.42
0000567,021023765100600120,43.42
0000568,021023765100600130,73.26
0000569,021023765100600140,77.04
0000570,021023765100700190,45.12
0000571,021023765100700200,44.63
0000572,021023765100700210,44.03
0000573,021023765100700220,43.42
0000574,021023765100700230,42.93
0000575,021023765100800010,48.69
0000576,021023765100800020,51.37
0000577,021023765100800030,45.12
0000578,021023765100800040,45.12
0000579,021023765100800050,45.12
0000580,021023765100900120,43.42
0000581,021023765100900130,43.42
0000582,021023765100900140,43.42
0000583,021023765100900150,43.42
0000584,021023765100900160,43.42
0000585,021023765100900170,43.42
0000586,021023765100900220,81.76
0000587,021023765100900240,81.76
0000588,021023765100900280,43.42
0000589,021023765100900290,43.42
0000590,021023765100900300,43.42
0000591,021023765100900310,43.42
0000592,021023765100900320,43.42
0000593,021023765100900330,43.42
0000594,021023765100900340,43.42
0000595,021023765100900450,49.84
0000596,021023765100900460,49.84
0000597,021023765101000190,43.42
0000598,021023765101000200,43.42
0000599,021023765101000210,43.42
0000601,021023765101000340,43.42
0000602,021023765101000350,43.42
0000603,021023765101000360,43.42
0000604,021023765101000370,43.42
0000605,021023765101000380,43.42
0000606,021023765101000390,43.42
0000607,021023765101000400,43.42
0000608,021023765101000410,43.42
0000609,021023765101000440,43.42
0000610,021023765101100100,43.42
0000611,021023765101100110,43.42
0000612,021023765101100300,43.42
0000613,021023765101100310,43.42
0000614,021023765101100320,43.42
0000615,021023765101100330,43.42
0000616,021023765101100340,43.42
0000617,021023765101100350,43.42
0000618,021023765101100360,43.42
0000619,021023765101100370,43.42
0000620,021023765101100420,43.42
0000621,021023765101100430,43.42
0000622,021023765101100440,43.42
0000623,021023765101100450,49.84
0000624,021023765101100460,49.84
0000625,021023765101200220,49.84
0000626,021023765101200230,49.84
0000627,021023765101300140,43.42
0000628,021023765101300150,43.42
0000629,021023765101400010,49.84
0000630,021023765101400030,43.42
0000631,021023765101400050,30.71
0000632,021023765101400180,30.71
0000633,021023765101400190,30.71
0000634,021023765101400200,30.71
0000635,021023765101400210,33.94
0000636,021023765101400220,33.94
0000646,021024000000110410,168.68
0000651,021024407515800220,102.64
0000653,021024407516700090,99.86
0000655,021024407516700180,99.86
0000667,021024407517200110,99.86
0000668,021024407517200120,99.86
0000674,021024407517500130,99.86
0000677,021024407517600160,99.86
0000686,021024407517800240,99.86
0000690,021024407518000180,99.86
0000692,021024407518000220,146.84
0000695,021024407518200160,110.36
