RA_ITEMID	ADVNUM	PARCEL	FACEVALUE	BID
6402055	000005	0002141099	9881.38	
6402056	000006	0002141115	4108.45	
6402058	000008	0002142021	5914.27	
6402059	000009	0002145012	8482.73	
6402060	000010	0003010004	31212.97	
6402061	000011	0003031026	2381.4	
6402064	000014	0003031063	938.05	
6402065	000015	0003031099	2860.67	
6402066	000016	0003031125	2328.5	
6402067	000017	0003031135	2763.21	
6402071	000021	0003031170	2551.03	
6402072	000022	0003032027	1195.17	
6402073	000023	0003032077	2933.14	
6402074	000024	0003032086	1863.16	
6402075	000025	0003061037	7241.82	
6402076	000026	0003061044	11896.08	
6402077	000027	0003080030	28743.28	
6402079	000029	0003103002	3389.7	
6402080	000030	0003103004	3700.25	
6402081	000031	0003103011	4538.48	
6402083	000033	0004040022	37540.7	
6402084	000034	0004050009	10028.75	
6402087	000037	0004050029	18810.19	
6402090	000040	0004151010	19168.98	
6402091	000041	0004151012	23898	
6402094	000044	0005020007	519.04	
6402095	000045	0005021019	6145.02	
6402096	000046	0005021052	7574.46	
6402097	000047	0005021060	6987.47	
6402098	000048	0005071002	5750.74	
6402099	000049	0005071026	5457.32	
6402100	000050	0005071034	3948.61	
6402101	000051	0005161003	5445.01	
6402102	000052	0005161008	5914.49	
6402106	000056	0006071058	2477.26	
6402107	000057	0006071061	2140.35	
6402108	000058	0006071075	2714.02	
6402109	000059	0006071101	2273.88	
6402112	000062	0006071172	1723.46	
6402113	000063	0006071210	1273.11	
6402115	000065	0006120004	18.55	
6402121	000071	0007051084	1954.61	
6402122	000072	0007052017	18572.89	
6402123	000073	0007070021	15269.41	
6402131	000081	0007141073	10076.86	
6402132	000082	0007141078	9945.93	
6402133	000083	0008020004	31.93	
6402136	000086	0008022053	7883.75	
6402138	000088	0008041118	16332.06	
6402141	000091	0008044004	89069.72	
6402145	000095	0008061090	5806.39	
6402146	000096	0008111037	6805.2	
6402147	000097	0008141014	5661.65	
6402150	000100	0008143067	10269.52	
6402151	000101	0008143077	7330.43	
6402152	000102	0008144013	5627.42	
6402153	000103	0009043008	15073.47	
6402155	000105	0009043047	11829.11	
6402159	000109	0009112003	20237.37	
6402160	000110	0009112168	24150.15	
6402161	000111	0010031025	19150.51	
6402162	000112	0010031106	11949.44	
6402164	000114	0010032052	11435.69	
6402165	000115	0010033037	12313.26	
6402166	000116	0010033067	7205.85	
6402167	000117	0010033076	14012.4	
6402168	000118	0010033077	7409.61	
6402174	000124	0010131021	13913.15	
6402175	000125	0010131060	17360.98	
6402177	000127	0011024008	35031.94	
6402180	000130	0011082023	17595.26	
6402184	000134	0012041032	3370.51	
6402186	000136	0012042053	506.06	
6402188	000138	0012042081	824.56	
6402189	000139	0012042096	882.57	
6402190	000140	0012042110	394	
6402191	000141	0012042111	394	
6402192	000142	0012042132	393.77	
6402194	000144	0012042134	393.77	
6402197	000147	0012042165	481.83	
6402198	000148	0012042166	447.62	
6402199	000149	0012042191	779.03	
6402201	000151	0013043014	7838.8	
6402202	000152	0013044066	8617.18	
6402203	000153	0013070010	118251.23	
6402204	000154	0013070013	133425.48	
6402208	000158	0013100031	22234.11	
6402210	000160	0013100049	33455.57	
6402211	000161	0015011079	3682.58	
6402213	000163	0015011171	1900.06	
6402214	000164	0015011175	2848.41	
6402215	000165	0015011205	2750.33	
6402220	000170	0016060040	4120.72	
6402221	000171	0016110020	4143.69	
6402222	000172	0016140019	5383.48	
6402224	000174	0017011005	3929.24	
6402226	000176	0017011034	5125.62	
6402232	000182	0018050002	1817.41	
6402233	000183	0018050019	3783.21	
6402235	000185	0018100008	8183.59	
6402242	000192	0019030004	1463.43	
6402243	000193	0019030006	4786.46	
6402244	000194	0019030032	2377.51	
6402245	000195	0019030049	6252.65	
6402247	000197	0019040021	4549.08	
6402249	000199	0019040045	4767.32	
6402250	000200	0019040049	4587.36	
6402251	000201	0019060006	105.06	
6402252	000202	0019060059	3487.44	
6402253	000203	0019070034	1632.53	
6402257	000207	0019140015	3482.24	
6402259	000209	0019140059	1401.9	
6402261	000211	0019160037	2441.34	
6402264	000214	0020011297	3620.52	
6402265	000215	0020011317	1669.15	
6402268	000218	0020100148	4800.12	
6402269	000219	0020130005	3464.53	
6402273	000223	0021060006	15715.66	
6402274	000224	0021080007	1345.11	
6402275	000225	0021080008	3542.35	
6402276	000226	0021080011	6447.67	
6402277	000227	0021080033	1770.05	
6402278	000228	0021090012	5467.82	
6402279	000229	0021100005	2351.08	
6402280	000230	0021100015	1559.05	
