AdvNum,Parcel,Face Amount
000299,0026050023,197.05
000301,0026050033,62.14
000303,0026050064,32.7
000584,0041060005,30.77
000616,0042070035,137.34
000654,0043020060,96.33
000894,0054080002,200.37
001327,0071010025,20.65
001357,0071160002,70.9
001427,0074070024,199.81
001468,0075100029,206.62
001681,0086160061,26.79
001686,0087030019,198.31
002095,0106070008,25.78
002344,0125040026,32.05
002622,0163130002,23.35
002633,0165100069,48.56
002803,0176091015,138.22
002979,0259030169,208.3
003040,0262150044,24.41
003276,0383120030,82.06
003284,0383150022,64.63
003287,0384020038,51.48
003288,0384020042,57.99
003331,0384140015,69.16
003332,0384140025,69.16
003333,0384140026,69.16
003522,0405090037,92.59
003525,0405090058,116.26
003527,0405090064,92.59
003535,0405120046,505.65
003628,0410100017,74.49
003722,0423150001,57.29
003776,0427050011,100.54
003793,0428020008,90.88
004291,0460020006,20.79
004319,0465018555,386.01
004322,0466011000,368.28
004339,0470120077,172.32
004603,0499010040,311.83
004681,0555001160,20.65
004758,0769040038,153.62
004759,0769040039,179.58
004871,0772010021,139.45
004890,0772100045,153.62
004926,0778010300,2226.56
004927,0778010316,17046.17
004928,0778010318,2511.5
004953,0787150021,177.75
005080,0791070005,19.31
005173,0853120006,29.58
006212,0960277307,24.27
007457,0986011011,1990.73
007986,1000040296,2466.89
008009,1000249724,545.46
008410,1116030060,43857.94
008775,1123232100,2743.85
008876,1124206877,477.99
008879,1124207136,479.63
008880,1124207137,479.63
008884,1124207237,479.63
008885,1124207238,479.63
008915,1125228916,472.84
008964,1125230202,438.16
008993,1125230915,485.72
009007,1125231508,469.62
009035,1126208434,553.97
009080,1127225923,469.62
009082,1127226103,440.89
009099,1127227605,469.62
009135,1128221118,429.78
009139,1128224503,437.04
009161,1128225411,458.11
009166,1128225608,434.33
009167,1128225701,482.51
009170,1128226009,456.1
009178,1128226063,454.75
009195,1128227107,445.92
009227,1129220504,437.04
009243,1129221307,495.37
009255,1129221915,442.91
009306,1129224226,490.56
009307,1129224301,442.24
009315,1129224427,450.16
009328,1130004000,910.03
009346,1130218407,453.27
009363,1130219603,444.56
009365,1130219608,381.68
009366,1130219610,384.26
009378,1130220006,435.02
009397,1130221805,439.51
009410,1130222206,440.2
009426,1131208458,479.63
009450,1131209863,481.21
009470,1131222712,446.47
009487,1132209863,477.99
009491,1132210269,479.63
009511,1132211256,477.99
009512,1132211257,477.99
009524,1132211618,479.63
009529,1132211761,477.99
009531,1132211763,481.21
009539,1132212043,479.63
009553,1132212339,477.99
009601,1132213520,479.63
009604,1132213680,477.99
009687,1133206878,477.99
009690,1133207138,479.63
009697,1133207239,481.21
009704,1133207454,477.99
009714,1133208459,477.99
009720,1133209242,477.99
009783,1134201123,481.21
009788,1134201445,477.99
009796,1134201728,477.99
009805,1134202014,479.63
009807,1134202321,479.63
009811,1134209243,479.63
009819,1134209517,477.99
009820,1134209518,479.63
009824,1134209637,477.99
009825,1134209638,479.63
010740,1147199901,559.96
010756,1147200410,477.99
010757,1147200501,555.33
010763,1147200709,560.64
010764,1147200714,562.56
010769,1147201006,546.1
010777,1147201309,559.27
010804,1147202810,564.25
010807,1147202822,482.85
010823,1147203410,562.3
010839,1147204023,479.63
010840,1147205623,560.64
010841,1147205624,557.37
010842,1147205625,557.37
010847,1148198543,477.99
010857,1148199209,477.99
010872,1148199609,477.99
010880,1148199938,477.99
010890,1148204025,477.99
010907,1148204520,481.21
010920,1148204850,477.99
010943,1148205517,485.55
010949,1148206317,564.03
010952,1148206602,556.69
010956,1148206720,479.63
010959,1149205634,477.99
010965,1149205808,556.69
010967,1149205823,481.21
010969,1149205907,477.99
010975,1149211256,477.99
010987,1149211807,560.64
010990,1149213208,559.27
010999,1149213521,479.63
011000,1149213522,477.99
011053,1149216244,508.18
011062,1149216506,556.69
011066,1149216520,579.63
011067,1149216566,481.21
011070,1149216639,477.99
011074,1149216707,599.35
011075,1149216763,477.99
011076,1149216764,477.99
011080,1150206122,479.63
011082,1150206206,556.69
011083,1150206209,557.37
011104,1150214802,556.69
011131,1150216247,479.63
011201,1151217210,546.77
011214,1151217706,437.74
011261,1151237616,558.49
011264,1151247620,374.45
011268,1152235711,560.82
011337,2004020016,21.79
011514,2019140008,49.41
011723,2022140026,82.84
011758,2023150094,185.21
011840,2024090091,282.73
012202,2033120047,210.16
012230,2034060083,111.95
