RA_ITEMID,ADVNUM,PARCEL,FACEVALUE,BID
6441927,000001,00035000000,3011.18,
6441928,000002,00035002000,193.96,
6441930,000004,00047000000,535.99,
6441931,000005,00048000000,556.58,
6441932,000006,00058002000,127.4,
6441933,000007,00058009000,119.98,
6441934,000008,00059001000,1046.66,
6441935,000009,00063000000,1523.74,
6441936,000010,00091003000,2133.43,
6441937,000011,00091007000,3155.03,
6441938,000012,00100000000,1140.09,
6441939,000013,00112001000,1730.04,
6441940,000014,00114005000,129.43,
6441942,000016,00115000070,421.53,
6441943,000017,00115000080,670.39,
6441944,000018,00131003000,2437.04,
6441945,000019,00131005000,132.86,
6441946,000020,00140000000,1661.99,
6441948,000022,00167001000,2294.84,
6441949,000023,00170000000,187.81,
6441950,000024,00172000000,1283.68,
6441951,000025,00177000000,1429.28,
6441953,000027,00194001000,249.16,
6441954,000028,00198001000,949.73,
6441955,000029,00209000000,1638.21,
6441956,000030,00214002030,594.7,
6441958,000032,00214002050,1183.36,
6441959,000033,00214002081,1195.62,
6441960,000034,00214003160,727.81,
6441961,000035,00214003180,847.97,
6441962,000036,00220001010,1127.56,
6441963,000037,00220001020,583.84,
6441966,000040,00237000000,709.12,
6441968,000042,00246001000,1541.8,
6441970,000044,00270000000,1263.01,
6441974,000048,00295001002,112.1,
6441975,000049,00314000001,936.91,
6441977,000051,00334001000,1206.8,
6441979,000053,00338000000,926.56,
6441981,000055,00347002000,2187.88,
6441982,000056,00350000010,3563.54,
6441984,000058,00373000000,92.7,
6441985,000059,00376000000,421.53,
6441986,000060,00377000000,81.01,
6441987,000061,00380003000,8308.44,
6441988,000062,00382002010,644.18,
6441989,000063,00399000000,83.56,
6441990,000064,00405000000,63.48,
6441991,000065,00418000000,1084.54,
6441992,000066,00422000000,69.33,
6441993,000067,00426000000,742.72,
6441994,000068,00427001000,667.93,
6441995,000069,00427002000,469.88,
6441996,000070,00427005000,926.34,
6441997,000071,00436000000,514.71,
6441998,000072,00443000000,2615.04,
6442000,000074,00444000040,787.1,
6442002,000076,00454000000,169.12,
6442004,000078,00459000000,1304.55,
6442006,000080,00478000000,421.53,
6442007,000081,00482000000,1006.47,
6442008,000082,00483000000,602.03,
6442009,000083,00484000000,838.85,
6442010,000084,00489000000,585.36,
6442011,000085,00492130003,131.51,
6442012,000086,00497002000,115.4,
6442013,000087,00504150020,688.42,
6442014,000088,00510160031,154.8,
6442015,000089,00512170011,1067.33,
6442016,000090,00525200021,100.61,
6442017,000091,00531220033,971.99,
6442018,000092,00542001000,67.5,
6442019,000093,00542001002,1467.97,
6442020,000094,00542001080,1465.9,
6442021,000095,00542001090,866.59,
6442022,000096,00542001091,714.45,
6442023,000097,00542002000,1362.41,
6442024,000098,00542003000,1473.62,
6442025,000099,00547000000,1358.08,
6442026,000100,00553001001,447.17,
6442027,000101,00566001001,3461.11,
6442028,000102,00566002010,144.94,
6442030,000104,00574002004,791,
6442031,000105,00574008000,1743.56,
6442032,000106,00578000000,1893.2,
6442033,000107,00581000110,81.99,
6442034,000108,00589000410,81.99,
6442035,000109,00589000420,81.99,
6442036,000110,00590000430,106.33,
6442037,000111,00591000510,81.99,
6442038,000112,00598002000,326.25,
