AdvNum,Parcel,Face Amount
000002,00035002000,193.96
000007,00058009000,119.98
000027,00194001000,249.16
000066,00422000000,69.33
000068,00427001000,667.93
000069,00427002000,469.88
000071,00436000000,514.71
000086,00497002000,115.4
000108,00589000410,81.99
000146,00713001012,80.47
000148,00713001020,118.08
000177,00812002000,71.95
000178,00812002001,65.76
000203,00850009000,353.54
000208,00863000000,55.78
000244,00930001006,205.18
000248,00930002004,875.76
000252,00930003011,738.05
000253,00930003015,936.95
000272,00986007000,549.09
000348,01276001015,385.66
000365,01312000250,668.68
000368,01323001000,117.69
000370,01332001010,501.37
000377,01362000000,127.85
000382,01375000130,421.53
000387,01375000220,358.75
000392,01375000470,698.87
000431,01449830010,262.19
000435,01457580080,311.76
000444,01460830170,421.53
000456,01510880310,696.58
000463,01513910100,734.29
000473,01537630010,212.22
000474,01538630020,212.22
000477,01548630140,212.22
000478,01548630150,212.22
000479,01548630160,212.22
000489,01612690140,212.22
000491,01622690320,212.22
000492,01629720130,212.22
000493,01632720190,212.22
000495,01645770120,421.53
000501,01651780150,247.53
000502,01653790070,212.22
000513,01733740140,220.03
000519,01784000000,421.53
000532,01881001000,73.22
000537,01909000010,191.95
000541,01917000180,563.53
000553,01978000000,747.38
000555,01978003000,100.76
000563,02045001000,117.44
000568,02049002030,271.18
000569,02049005000,445.3
000575,02059004020,421.53
000588,02101001000,872.67
000595,02164001002,424.29
000597,02166000000,258.6
000598,02168000000,758.9
000599,02168000010,269.36
000601,02179000000,225.54
000612,02215001000,395.72
000617,02229006000,103.3
000620,02230000210,119.26
000623,02260000000,79.8
000625,02270004000,191.95
000626,02271000000,328.45
000627,02273000000,191.95
000637,02374000000,124.8
000646,02409000000,520.19
000651,02436000140,380.94
000652,02436000270,57.64
000654,02441010100,301.09
000655,02441010320,215.83
000656,02443000000,108.67
000661,02456001000,191.95
000670,02490002000,104.65
000677,02534001010,132.86
000684,02535000370,421.53
000690,02555000001,241.03
000695,02572001010,132.86
000706,02618002001,412.19
000709,02632010080,219.94
000710,02632011000,57.64
000713,02650000000,144.74
000714,02650003000,471.5
000725,02712001000,351.36
000726,02714001000,5095.81
000731,02735001000,441.17
000735,02751001000,754.88
000738,02763005002,421.53
000739,02770001010,151.77
000741,02771000000,124.8
000742,02774002000,185.5
000748,02804000000,57.64
000749,02821000000,97.93
000754,02825000011,90.6
000755,02825000012,65.76
000756,02828000040,248.57
000757,02840000010,109.89
000759,02851000000,78.35
000762,02854002000,53.95
000769,02865007003,81.38
000773,02871000000,57.64
000784,02898001030,38.34
000796,02934002000,65.76
000815,02948001000,57.64
000831,03009001040,72.32
000873,03164000270,333.84
000878,03171000040,281.92
000881,03188001000,56.28
000882,03189000000,57.64
000892,03207003001,81.47
000896,03215003070,375.71
000918,03314000031,382.65
000927,03337000000,89.23
000930,03343002000,322.22
000931,03343004000,421.53
000933,03343007001,81.99
000934,03343007002,60.34
000935,03344000000,217.7
000936,03349000000,84.58
000937,03350000000,104.19
000952,03380010230,524.58
000955,03385060010,118.42
000956,03388060090,98.15
000966,03397110120,758.11
000970,03399030013,90.1
000971,03399030017,90.1
000972,03399030019,90.1
000973,03399030022,73.87
000974,03399040001,90.1
000975,03399040003,73.87
000976,03399040004,90.1
000977,03399040011,90.1
000978,03399040020,73.87
000979,03399040022,73.87
000980,03399050010,73.87
000981,03399050011,73.87
000982,03399050018,90.1
000983,03399050023,90.1
000984,03399070000,447.16
000985,03399080001,90.1
000986,03399080009,90.1
000987,03399080011,122.56
000988,03399080015,122.56
000989,03399080019,90.1
000990,03399080021,90.1
000991,03399080023,73.87
000993,03399090013,90.1
000994,03399090024,73.87
000995,03399110109,90.1
000996,03403010070,592.75
000997,03403020010,187.48
000998,03405050110,187.48
000999,03406080010,90.1
001000,03406080050,90.1
001001,03406080080,73.87
001002,03406080090,73.87
001003,03406080120,73.87
001004,03406080160,73.87
001005,03406080170,73.87
001006,03406080200,73.87
001007,03406080210,73.87
001009,03407090080,73.87
001010,03411090120,73.87
001011,03416010010,82.34
001012,03417010020,82.34
001013,03420010110,107.02
001014,03427050010,82.34
001015,03428090030,135.09
001016,03428100010,156.39
001017,03428100030,156.39
001018,03428100050,156.39
001019,03429070000,255.15
001020,03429070050,160.89
001021,03434030010,75.49
001022,03442090220,75.49
001023,03442090230,75.49
