RA_ITEMID	ADVNUM	PARCEL	FACEVALUE	ASSESSEDVALUE	PERCENTAGE_BID	DOLLAR_BID
3178562	000001	01-0-003674	2671.92	186200		
3178563	000002	01-0-005189	2821.25	560267		
3178565	000004	01-0-012355	4576.08	338900		
3178566	000005	01-0-433147	1616.81	106400		
3178567	000006	01-0-433148	1904.86	129500		
3178568	000007	01-0-009494	5717.09	430400		
3178569	000008	01-1-011146	24971.67	1048900		
3178570	000009	01-1-016776	826.55	65500		
3178571	000010	01-1-019139	2445.01	128000		
3178572	000011	01-1-035150	10066.67	580700		
3178573	000012	01-1-023268	2182.37	112400		
3178574	000013	01-1-038923	2436.59	127500		
3178575	000014	01-1-015044	3674.04	201000		
3178576	000015	01-1-014927	2894.78	97100		
3178579	000018	01-1-016415	3473.69	189100		
3178580	000019	01-1-024043	2007.81	209700		
3178581	000020	02-0-002604	1958.63	129000		
3178582	000021	02-0-000814	2416.28	165700		
3178586	000025	02-0-016109	4153.35	305000		
3178587	000026	02-0-005948	3977.52	290900		
3178588	000027	02-0-005956	2118.11	146600		
3178589	000028	02-0-022079	3497.43	252400		
3178591	000030	03-0-016897	3169.87	226133		
3178592	000031	03-0-020061	1636.76	108000		
3178593	000032	03-0-007510	3663.28	265700		
3178594	000033	03-0-017052	3933.47	287367		
3178596	000035	03-0-011585	1191.99	72333		
3178597	000036	03-0-011038	2393.92	344900		
3178598	000037	03-0-017133	5435.68	407833		
3178602	000041	03-0-019381	4471.6	335333		
3178603	000042	03-0-008576	4692.66	357267		
3178604	000043	03-0-029522	1620.55	106700		
3178605	000044	03-0-027422	3866.22	298067		
3178608	000047	04-0-039629	4446.82	328533		
3178609	000048	04-0-030486	3508.4	268300		
3178610	000049	04-0-077679	5981.05	451567		
3178612	000051	04-0-046145	4261.16	315667		
3178613	000052	04-0-034880	2256.58	335233		
3178614	000053	04-0-050274	4398.43	334267		
3178617	000056	04-0-064771	2136.4	148067		
3178622	000061	04-0-074610	7348.99	496300		
3178623	000062	04-0-032101	4114.73	307000		
3178624	000063	04-0-432953	5512.34	128767		
3178626	000065	04-0-067363	3594.02	541633		
3178627	000066	04-0-015150	2292.68	160600		
3178629	000068	04-0-035070	6067.5	458500		
3178630	000069	04-0-016475	5112.71	381933		
3178631	000070	04-0-027353	3649.98	264633		
