ADVNUM,BLOCK,LOT,QUAL,FACE_AMOUNT
000048,35,18,,384.9
000050,40,11,,758.23
000200,135,12,,492.49
000201,135,20,,565.46
000202,137,6,,396.18
000203,137,10,,266.03
000205,141,4,,190.97
000206,141,5,,884.49
000208,143,19,,319.11
000209,144,14,,237.82
000211,147,19.03,,473.01
000218,151,7.01,,100
000246,173,8,,155
000248,175,5,,360.25
000249,176,20,,6512.69
000285,210,14,,1024.08
000325,276,25,,497.06
000326,276,27,,8245.01
000327,277,4,,806.68
000328,278,15,,324.25
000329,280,1,,591.99
000330,280,3,,370.4
000331,280,15,,872.16
000332,281,7,,529.51
000333,285,1,,728.83
000336,290,7,,270.14
000337,290,12,,569.47
000338,291,8,,426.91
000339,292,8,,419.82
000351,309,3,,44499.64
000399,377,1,,9163.58
000400,377,13,,269.62
000401,377,24,,1252.78
000403,385,17,,386.42
000404,386,14,,750.26
000406,389,1,,628.8
000407,389,31,,268.62
000408,390,3,,268.55
000409,390,19,,589.97
000410,390,25,,449.1
000411,392,9,,586.01
000412,393,11,,379.63
000413,393,24,,269.06
000414,393,25,,703.47
000415,393,26,,539.76
000416,394,8,,580.86
000417,396,33,,865.52
000418,399,10,,487.89
000419,399,17,,155
000420,400,4,,270.14
000421,400,21,,6234.17
000422,400,27,,358.04
000423,400,29,,205.14
000424,402,6,,2341.29
000425,402,20,,1624.5
000426,406,3,,527.27
000427,406,8,,270.14
000428,406,11,,320.03
000429,409,6,,274.47
000430,411,13,,270.14
000431,411,17,,369.92
000432,413,7,,270.14
000433,415,15,,591.22
000434,416,8,,531.21
000435,417,22,,303.69
000436,419,6,,685.84
000437,419,18,,268.94
000438,419,31,,8136.48
000439,419,35,,269.55
000440,420,4,,706.5
000441,421,21,,646.26
000442,421,29,,270.14
000443,421,32,,502.14
000444,421,71,,5503.36
000445,422,1.01,,818.68
000447,426,1,,16978.21
000448,426,5,,592.52
000449,430,8,,993.71
000456,439,19,,8897.54
000463,446,15.01,,574.72
000464,448,10,,829.84
000465,,,,762.83
000466,457,24.01,,270.14
000467,457,34.01,,568.87
000468,461,1,,10242.18
000469,463,16,,487.03
000471,463,46,,4619.53
000472,464,7,,1548.72
000473,464,12,,276.45
000476,469,16,,256.16
000477,469,21,,2625.51
000478,470,48,,287.69
000479,471,1,,264.99
000480,471,10,,402.8
000481,472,9,,203.64
000483,472,23,,340.34
000484,472,27,,575.71
000485,472,36,,265.4
000486,474,8,,586.07
000487,475,19,,270.14
000488,475,25,,1704.31
000489,475,26,,624.3
000490,475,31,,574.1
000491,480,9,,431.8
000492,482,2,,889.01
000493,482,9,,968.62
000494,485,7,,748.53
000495,485,26,,269.55
000496,486,14,,544.86
000497,488,11,,661.25
000498,488,13,,269.55
000499,490,6,,270.14
000500,491,12,,8881.29
000501,495,12,,498.76
000503,496,4,,339.22
000504,500,7,,1086.8
000505,503,11,,1254.28
000506,503,12,,7404.05
000507,506,2,,924.62
000508,507,1,,2408.12
000509,507,13,,486.77
000510,511,2,,551.01
000512,511,11,,619.14
000513,514,3,,5883.3
000514,514,5,,692.03
000515,526,10,,6166.83
000516,526,11,,975.21
000517,526,15,,155
000518,526,18,,773.15
000520,537,3,,220
000521,537,4,,1576.71
000522,537,6,,328.19
000523,537,10,,1400.35
000524,537,13.02,,2290.22
000525,537,19,,1071.09
000526,538,19,,2392.55
000527,538,22.02,,220
000528,539,3,,9134.74
000529,539,12,,295.71
000530,539,15,,389.35
000531,540,8,,1106.53
000532,542,3,,322.69
000533,542,5,,600.2
000534,545,10,,437.12
000535,545,37.01,,544.98
000537,546,24,,155
000538,549,4,,394.78
000539,549,9,,276.45
000540,549,15,,406.67
000541,552,9,,612.24
000542,552,14,,362.35
000543,553,5,,1005.45
000544,555,1,,600.74
000545,555,12,,910.65
000546,555,16,,377
000547,555,20,,158.08
000548,555,23,,640.91
000549,556,10,,1639.88
000550,556,11,,462.79
000551,556,12,,395.26
000552,556,15,,723.21
000553,556,20,,155
000554,558,2.04,,743.54
000555,560,2.02,,914.01
000556,562,13,,710.73
000557,562,17,,286.71
000558,,,,155
000560,563,21,,1039.47
000561,563,33,,220
000562,564,6,,483.25
000563,565,11,,663.87
000564,566,12,,313.96
000565,566,14,,847.86
000566,567,1,,378.25
000567,569,6,,8767.56
000568,570,27.01,,211.45
000569,571,3,,4266.37
000570,571,11,,339.4
000571,571,17,,205.71
000572,572,5,,408.31
000573,572,10,,1332.75
000574,572,11,,763.91
000575,573,8,,20433.01
000576,573,20.02,,155
000577,,,,155
000578,577,14,,478.15
000579,582,5,,270.14
000580,582,50,,15270.12
000581,582,51,,502.12
000582,582,53,,270.14
000583,587,3.01,,359299.34
000584,587,3.02,,9954.76
000585,587,3.03,,15280.54
