ADVNUM,BLOCK,LOT,QUAL,FACE_AMOUNT
0048,35,18,,384.9
0050,40,11,,758.23
0200,135,12,,492.49
0201,135,20,,565.46
0202,137,6,,396.18
0203,137,10,,266.03
0204,140,10,,560.5
0205,141,4,,190.97
0206,141,5,,884.49
0207,143,10,,461.91
0208,143,19,,319.11
0209,144,14,,237.82
0210,144,19,,237.23
0211,147,19.03,,473.01
0212,148,1,,466.92
0213,148,2,,420.24
0214,148,5,,396.18
0215,148,7,,658.04
0216,148,16,,938.4
0217,150,12,,1351.85
0218,151,7.01,,100
0219,152,10,,820.23
0220,152,11,,1814.83
0221,152,14,,155
0222,152,19,,624.14
0223,153,12,,350
0224,154,3,,592.52
0225,154,11,,580.86
0226,155,4,,509.01
0227,155,15,,1364.72
0228,156,14,,220
0229,157,4,,523.44
0230,159,2,,390.95
0231,159,4,,423.72
0232,160,2,,334.47
0233,164,2,,1076.58
0234,164,3,,239.68
0235,164,6,,259.11
0236,164,11,,270.14
0238,165,3,,10017.91
0239,166,13,,2567.65
0241,167,6,,870.33
0242,167,8,,560.37
0243,168,1,,502.72
0244,169,14,,100
0245,172,16,,155
0246,173,8,,155
0248,175,5,,360.25
0328,278,15,,324.25
0402,381,3,,270.14
0403,385,17,,386.42
0404,386,14,,750.26
0405,388,31,,426.91
0406,389,1,,628.8
0407,389,31,,268.62
0408,390,3,,268.55
0409,390,19,,589.97
0410,390,25,,449.1
0411,392,9,,586.01
0412,393,11,,379.63
0413,393,24,,269.06
0414,393,25,,703.47
0415,393,26,,539.76
0416,394,8,,580.86
0417,396,33,,865.52
0418,399,10,,487.89
0419,399,17,,155
0420,400,4,,270.14
0421,400,21,,6234.17
0422,400,27,,358.04
0423,400,29,,205.14
0424,402,6,,2341.29
0425,402,20,,1624.5
0426,406,3,,527.27
0427,406,8,,270.14
0428,406,11,,320.03
0429,409,6,,274.47
0430,411,13,,270.14
0431,411,17,,369.92
0432,413,7,,270.14
0433,415,15,,591.22
0434,416,8,,531.21
0435,417,22,,303.69
0436,419,6,,685.84
0437,419,18,,268.94
0438,419,31,,8136.48
0439,419,35,,269.55
0440,420,4,,706.5
0441,421,21,,646.26
0442,421,29,,270.14
0443,421,32,,502.14
0444,421,71,,5503.36
0445,422,1.01,,818.68
0446,422,26,,98.65
0447,426,1,,16978.21
0448,426,5,,592.52
0449,430,8,,993.71
0549,556,10,,1639.88
0583,587,3.01,,359299.34
