RA_ITEMID	ADVNUM	BLOCK	LOT	QUAL	TOTAL_IN_SALE	PERCENTAGE_BID	PREMIUM_BID
191051	000001	1	3		157.18		
191052	000002	1	11		3333		
191053	000003	3	3		548.84		
191054	000004	3	10		784.41		
191055	000005	5	15		385.85		
191056	000006	6	26		787.9		
191057	000007	7	8		1154.86		
191058	000008	7	22		6988.92		
191059	000009	8	16		155		
191060	000010	8	21		397.73		
191061	000011	10	1		628.98		
191062	000012	10	2		688.55		
191063	000013	10	3		269.04		
191064	000014	10	22		511.48		
191065	000015	10	27		593.36		
191066	000016	12	22		155		
191067	000017	13	3		2432.95		
191068	000018	13	7		49238.02		
191069	000019	14	16		394.96		
191070	000020	14	17		678.06		
191071	000021	16	8		3770.83		
191072	000022	16	9		14518.63		
191073	000023	16	10		220		
191074	000024	16	15		155.45		
191075	000025	16	16		508.09		
191076	000026	16	26		335.61		
191077	000027	18	5		822.04		
191078	000028	20	12		266.98		
191079	000029	21	1		331.18		
191080	000030	21	3.01		772.23		
191081	000031	22	16		929.89		
191082	000032	24	2		312.6		
191083	000033	24	11		155		
191084	000034	25	7		800.02		
191085	000035	27	8		609.06		
191086	000036	27	12		269.62		
191087	000037	28	1.02		1374.62		
191088	000038	29	7		95.41		
191089	000039	29	17		473.12		
191090	000040	30	7		704.05		
191091	000041	30	12		514.16		
191092	000042	31	13		608.27		
191093	000043	31	17		610.01		
191094	000044	32	13		503.98		
191095	000045	33	15		13324.72		
191096	000046	35	4		204.39		
191097	000047	35	16		211.25		
191099	000049	37	1		261.03		
191101	000051	40	34		880.93		
191102	000052	40	35		1320.7		
191103	000053	40	47		1142.38		
191104	000054	41	1		12371.83		
191105	000055	41	19		205.14		
191106	000056	41	23		1417.24		
191107	000057	41	38		1350.31		
191108	000058	42	4		592.71		
191109	000059	42	13		748.56		
191110	000060	45	10		887.28		
191111	000061	50	1		5439.76		
191112	000062	51	2		15447.62		
191113	000063	51	28		6365.46		
191114	000064	51	30		753.47		
