RA_ITEMID	ADVNUM	BLOCK	LOT	QUAL	TOTAL_IN_SALE	PERCENTAGE_BID	PREMIUM_BID
3178901	000001	1	5		491.77		
3178902	000002	1.04	5		1381.84		
3178903	000003	3.02	2		473.15		
3178904	000004	4	10		907.54		
3178905	000005	6	12		4213.54		
3178906	000006	8.02	5.02		821.49		
3178907	000007	10	10		4239.48		
3178909	000009	15	10		2469.88		
3178911	000011	24	2		494.04		
3178912	000012	30	6.02		493.3		
3178913	000013	31	9		938.55		
3178916	000016	35	21		468.63		
3178917	000017	44	5		374.4		
3178918	000018	45	13		207.96		
3178919	000019	53	8		893.84		
3178920	000020	54	11		892.02		
3178921	000021	56	7		491.3		
3178922	000022	57	18		903.39		
3178923	000023	60	3		298.21		
3178924	000024	60	4		385.06		
3178925	000025	60	5		939.38		
3178927	000027	62	6		892.15		
3178928	000028	62	10		924.1		
3178929	000029	63	10		838.69		
3178930	000030	63	12		385.06		
3178931	000031	63	14		929.43		
3178932	000032	65	14		279.48		
3178933	000033	67	2		3675.19		
3178934	000034	69	2		837.81		
3178936	000036	73	6.01		839.01		
