ADVNUM,BLOCK,LOT,QUAL,FACE_AMOUNT
0010,301,25,,337
0128,1004,21,,10960
0134,1006,18,,2892
0165,1203,9,,536
0251,1701,14,,534
0274,1802,12,,35
0300,1901,6,,1960
0379,2201,19,,846
0466,3002,6,,880
0469,3003,4,,3400
0470,3003,5,,922
0472,3102,2,,1947
0539,3402,13,,5625
0547,3403,3,,3815
0629,3903,3,,2237
0630,3903,4,,11149
0631,3903,5,,11200
0788,4902,5,,768
0823,5004,28,,966
0916,5502,2,,928
0917,5502,3,,959
1037,6008,30,,382
1039,6009,7,,1466
1063,6104,2,,4616
1231,6803,9,,1943
1258,7003,12,,346
