RA_ITEMID,ADVNUM,BLOCK,LOT,QUAL,TOTAL_IN_SALE,PERCENTAGE_BID,PREMIUM_BID
3178138,000001,102,21,,327.38,,
3178139,000002,103,1,,280.03,,
3178140,000003,103,15,,336.42,,
3178142,000005,301,32,,163.49,,
3178143,000006,301,34,,453.56,,
3178145,000008,401,13,,478.81,,
3178146,000009,401,14,,305.14,,
3178148,000011,401,27,,146.71,,
3178149,000012,401,28,,170.92,,
3178153,000016,701,11,,705.91,,
3178154,000017,701,12,,170.92,,
3178155,000018,701,23,,377.86,,
3178156,000019,701,24,,858.67,,
3178157,000020,701,25,-C0002,1564.95,,
3178158,000021,702,3,,233.17,,
3178159,000022,702,5,,170.92,,
3178160,000023,702,29,,239.39,,
3178161,000024,702,30,,190.43,,
3178162,000025,702,31,,1746.67,,
3178163,000026,703,12,,170.92,,
3178164,000027,703,13,,531.65,,
3178165,000028,703,18,,276.91,,
3178166,000029,703,23,,170.92,,
3178167,000030,703,25,,604.97,,
3178168,000031,703,29,,1103.18,,
3178169,000032,703,33,,264.3,,
3178170,000033,703,39,,680.66,,
3178171,000034,703,40,,646.58,,
3178172,000035,704,15,,340.15,,
3178173,000036,704,24,,351.71,,
3178174,000037,802,5,,155.92,,
3178175,000038,802,8,,365.24,,
3178179,000042,901,6,,308.72,,
3178180,000043,901,13,,247.04,,
3178181,000044,901,14,,304.98,,
3178183,000046,902,5,,278.51,,
3178184,000047,902,13,,630.21,,
3178185,000048,902,16,,327.38,,
3178186,000049,902,20,,1051.71,,
3178187,000050,902,21,,504.03,,
3178188,000051,902,32,,208.27,,
3178189,000052,1001,16,,390.47,,
3178192,000055,1002,10,,302.14,,
3178193,000056,1002,16,,305.14,,
3178194,000057,1002,23,,491.82,,
3178196,000059,1003,19,,642.82,,
3178197,000060,1003,26,,261.23,,
3178199,000062,1003,33,,170.92,,
3178200,000063,1004,9,,466.17,,
3178203,000066,1006,7,,566.69,,
3178205,000068,1006,20,,1888.25,,
3178206,000069,1006,22,,205.64,,
3178207,000070,1006,29,,233.17,,
3178209,000072,1006,41,,680.66,,
3178210,000073,1101,6,,195.63,,
3178212,000075,1102,2,,223.69,,
3178213,000076,1102,4,,206.41,,
3178214,000077,1102,5,,592.34,,
3178215,000078,1102,8,,315.36,,
3178216,000079,1102,21,,504.03,,
3178217,000080,1102,32,,214.49,,
3178219,000082,1201,18,,175.58,,
3178221,000084,1201,30,,386.52,,
3178223,000086,1203,7,,1219.02,,
3178224,000087,1203,9,,4160.38,,
3178226,000089,1203,28,,170.92,,
3178227,000090,1203,40,,491.41,,
3178228,000091,1203,42,,424.04,,
3178229,000092,1203,46,,920.99,,
3178232,000095,1204,14,,170.92,,
3178233,000096,1204,15,,663.09,,
3178235,000098,1205,8,,1321.96,,
3178236,000099,1205,10,,275.92,,
3178237,000100,1206,8,,170.92,,
3178239,000102,1206,17,,1051.11,,
3178240,000103,1402,9,,339.19,,
3178241,000104,1402,19,,974.48,,
3178242,000105,1403,14,,170.92,,
3178243,000106,1403,20,,317.06,,
3178244,000107,1403,26,,251.85,,
3178246,000109,1501,13,,170.92,,
3178248,000111,1502,12,,170.92,,
3178249,000112,1502,13,,292.07,,
3178250,000113,1503,6,,440.95,,
3178251,000114,1503,12,,257.97,,
3178252,000115,1601,14,,1270.5,,
3178254,000117,1601,19,,154.03,,
3178255,000118,1602,11,,308.73,,
3178256,000119,1602,26,,415.7,,
3178257,000120,1701,3,,33179.08,,
3178260,000123,1701,12,,1062.83,,
3178261,000124,1701,14,,1155.71,,
3178262,000125,1702,8,,461.92,,
3178264,000127,1702,15,-C0001,317.59,,
3178266,000129,1702,28,,5480.97,,
3178267,000130,1702,29,,453.56,,
3178268,000131,1801,2,,170.92,,
3178270,000133,1802,4,,266.01,,
3178272,000135,1802,19,,365.24,,
3178273,000136,1802,20,,253.91,,
3178275,000138,1803,20,,258.07,,
3178277,000140,1803,28,,453.56,,
3178280,000143,1804,30,,409.21,,
3178281,000144,1901,5,,170.92,,
3178282,000145,1901,16,,2544.6,,
3178283,000146,1901,18,,993.7,,
3178284,000147,1901,21,,206.47,,
3178285,000148,1902,12,,1128.93,,
3178286,000149,1902,17,,611.8,,
3178287,000150,1903,11,,208.27,,
