Ra_ItemID	CertNum	Parcel	FaceValue	Bid	Tax Year	IsHomestead	Tax Years Unpaid	Bankruptcy_Flag	Property_Address_1	Property_Address_2	Property_City	Property_Zip
6284257	1	"R00023-999"	211.96		2016	0	7	0				     
6284273	2	"R00049-002"	247.82		2017	0	7	0				     
6284258	3	"R00023-999"	175.32		2019	0	7	0				     
6284274	4	"R00049-002"	256.21		2016	0	7	0				     
6284276	6	"R00049-002"	181.35		2020	0	7	0				     
6284275	8	"R00049-002"	207.37		2019	0	7	0				     
6284277	20	"R00049-002"	82.37		2022	0	7	0				     
6284412	35	"R00227-010"	90.54		2017	0	7	0				     
6284419	63	"R00275-006"	134.52		2021	1	1	0	799 SW BOZEMAN Ct		LAKE CITY	32024
6284421	66	"R00275-013"	153.91		2021	1	1	0	721 SW BOZEMAN Ct		LAKE CITY	32024
6284420	66	"R00275-011"	211.09		2022	1	0	0	766 SW BOZEMAN Ct		LAKE CITY	32024
6284265	89	"R00344-010"	240.25		2022	1	0	0	1035 SW GODBOLD Ave		LAKE CITY	32024
6284638	136	"R00485-002"	189.55		2019	0	7	0				     
6284639	148	"R00485-002"	225.86		2017	0	7	0				     
6284637	160	"R00485-002"	59.54		2022	0	7	0				     
6284165	167	"R00499-001"	171.35		2019	0	5	0				     
6284640	169	"R00485-002"	228.24		2016	0	7	0				     
6284641	170	"R00488-040"	250.02		2022	1	0	0	1458 SW SPRUCE Rd		FORT WHITE	32038
6284164	182	"R00499-001"	39.13		2022	0	5	0				     
6283768	218	"R00837-208"	67.57		2022	0	7	0				     
6283769	220	"R00837-212"	64.2		2022	0	7	0				     
6283771	225	"R00837-212"	108.38		2017	0	7	0				     
6283772	227	"R00882-000"	217.05		2022	0	5	0				     
6283773	229	"R00893-000"	203.42		2022	0	7	0				     
6283767	246	"R00837-208"	117.85		2016	0	7	0				     
6283770	249	"R00837-212"	117.85		2016	0	7	0				     
6283774	282	"R01309-020"	310.18		2022	0	1	0				     
6284384	314	"R01697-101"	177.89		2020	0	7	0				     
6284393	315	"R01697-102"	177.89		2020	0	7	0				     
6284394	316	"R01707-100"	150.77		2020	0	7	0				     
6284399	317	"R01717-006"	103.29		2020	1	2	0	282 NW AUSTIN Way		LAKE CITY	32055
6283775	325	"R01438-069"	132.37		2022	0	4	0				     
6284278	343	"R01603-128"	196.59		2022	1	0	0	330 NW FROG HOLLOW Way		WHITE SPRINGS	32096
6284527	356	"R01818-016"	152.31		2020	0	5	0				     
6284580	367	"R01857-013"	149.31		2020	0	6	0				     
6284352	371	"R01655-204"	198.88		2022	0	1	0				     
6284368	374	"R01657-019"	230.64		2022	0	0	0	736 NW GAR POND Ct		WHITE SPRINGS	32096
6284153	376	"R01901-002"	156.54		2020	0	6	0				     
6284387	391	"R01697-101"	243.97		2017	0	7	0				     
6284390	392	"R01697-102"	243.97		2017	0	7	0				     
6284397	393	"R01707-100"	203.35		2017	0	7	0				     
6284388	395	"R01697-101"	67.07		2022	0	7	0				     
6284385	395	"R01697-101"	201.73		2019	0	7	0				     
6284389	396	"R01697-102"	67.07		2022	0	7	0				     
6284392	396	"R01697-102"	201.73		2019	0	7	0				     
6284398	397	"R01707-100"	45.76		2022	0	7	0				     
6284395	397	"R01707-100"	168.92		2019	0	7	0				     
6284386	416	"R01697-101"	248.37		2016	0	7	0				     
6284391	417	"R01697-102"	248.37		2016	0	7	0				     
6284396	418	"R01707-100"	203.65		2016	0	7	0				     
6284262	425	"R02059-003"	154.34		2020	0	6	0				     
6284525	435	"R01818-016"	46.34		2022	0	5	0				     
6284526	441	"R01818-016"	169.74		2019	0	5	0				     
6284577	446	"R01857-013"	46.94		2022	0	6	0				     
6284579	453	"R01857-013"	167.15		2019	0	6	0				     
6284152	455	"R01901-002"	50.85		2022	0	6	0				     
6284578	457	"R01857-013"	201.14		2017	0	6	0				     
6284154	460	"R01901-002"	175.9		2019	0	6	0				     
6284155	464	"R01910-033"	366.5		2022	0	1	0	342 NW DICKS St		LAKE CITY	32055
6284151	466	"R01901-002"	209.63		2017	0	6	0				     
6284156	467	"R01911-001"	719.69		2022	1	6	0	203 NW CREWS Gln		LAKE CITY	32055
6284157	478	"R01911-034"	68.34		2022	0	7	0				     
6284158	484	"R01911-034"	236.46		2017	0	7	0				     
6284409	488	"R02273-018"	150.56		2020	0	6	0				     
6284209	493	"R02014-001"	170.37		2022	1	0	0	224 NW SUGAR Gln		LAKE CITY	32055
6284220	496	"R02031-003"	329.89		2022	0	0	0	340 NW ROWE Ct		LAKE CITY	32055
