Ra_ItemID	CertNum	Parcel	FaceValue	Bid	Tax Year	IsHomestead	Tax Years Unpaid	Bankruptcy_Flag	Property_Address_1	Property_Address_2	Property_City	Property_Zip
6293406	8	"02-06-13-0000-0000-01202"	285.23		2022	1	1	0	321 NE LAVENDER ROAD		BRANFORD	32008
6293407	10	"03-06-12-MINR-0000-00200"	67.23		2022	0	1	0				     
6293408	11	"03-06-13-MINR-0000-00100"	79.33		2022	0	1	0				     
6293410	14	"04-06-13-0000-0000-01504"	156.99		2020	0	1	0	1368 SE CR 420		BRANFORD	32088
6293409	15	"04-06-13-0000-0000-01504"	131.25		2022	0	1	0	1368 SE CR 420		BRANFORD	32088
6293411	28	"07-04-11-0000-0000-00501"	250.84		2021	0	1	0	837 NW PUTNAL RD		MAYO	32066
6293412	32	"07-04-11-0000-0000-00501"	250.81		2022	0	1	0	837 NW PUTNAL RD		MAYO	32066
6293413	39	"09-06-13-0000-0000-01101"	222.94		2021	1	1	0	635 SE ADAMS RD		BRANFORD	32088
6293414	46	"09-06-13-0000-0000-01101"	216.61		2022	1	1	0	635 SE ADAMS RD		BRANFORD	32088
6293421	52	"13-04-10-0000-0000-00208"	295.16		2020	1	3	0	212 NW JIM WILLIS RD		MAYO	32066
6293424	53	"13-04-10-0000-0000-00303"	295.16		2020	1	2	0	1132 NW ELIZA CLARK RD		MAYO	32066
6293415	60	"12-03-10-MINR-0000-00100"	218.09		2022	0	1	0				     
6293431	63	"13-05-11-0013-0200-00020"	237.23		2020	1	3	0	620 SW MARTIN LUTHER KING JR		MAYO	32066
6293435	66	"13-05-11-0013-0210-00020"	237.23		2020	1	3	0	200 SW TAYLOR AVE		MAYO	32066
6293438	70	"13-05-11-0013-0230-00040"	237.23		2020	1	2	0	362 SW WILLOW ST		MAYO	32066
6293417	71	"13-03-10-0097-0020-00060"	222.94		2021	0	1	0	1522 NW BALTIC RD		MAYO	32066
6293419	72	"13-04-10-0000-0000-00208"	250.84		2021	1	3	0	212 NW JIM WILLIS RD		MAYO	32066
6293422	73	"13-04-10-0000-0000-00303"	250.84		2021	1	2	0	1132 NW ELIZA CLARK RD		MAYO	32066
6293441	73	"13-05-11-0013-0360-00000"	23.85		2020	1	3	0	359 SW WILLOW ST		MAYO	32066
6293416	74	"13-03-10-0000-0000-00601"	250.81		2022	1	0	0	915 NW MATT PICKLES RD		MAYO	32066
6293418	77	"13-04-10-0000-0000-00207"	250.81		2022	0	0	0	946 NW HIGHLANDS RD		MAYO	32066
6293420	78	"13-04-10-0000-0000-00208"	250.81		2022	1	3	0	212 NW JIM WILLIS RD		MAYO	32066
6293423	79	"13-04-10-0000-0000-00303"	250.81		2022	1	2	0	1132 NW ELIZA CLARK RD		MAYO	32066
6293444	79	"13-05-11-0013-0400-00020"	237.23		2020	1	3	0	395 SW LAUREL ST		MAYO	32066
6293447	80	"13-05-11-0013-0400-00050"	232.73		2020	1	3	0	392 SW MARTIN LUTHER KING JR		MAYO	32066
6293453	84	"13-05-11-0013-0560-00000"	232.73		2020	1	2	0	421 SW MARTIN LUTHER KING JR		MAYO	32066
6293425	89	"13-05-11-0011-0850-00010"	169.37		2022	1	0	0	254 SW MONROE AVE		MAYO	32066
6293430	90	"13-05-11-0013-0200-00020"	197.39		2021	1	3	0	620 SW MARTIN LUTHER KING JR		MAYO	32066
6293426	91	"13-05-11-0012-0820-00090"	169.37		2022	1	0	0	420 SW MILL ST		MAYO	32066
6293427	92	"13-05-11-0013-0010-00030"	146.56		2022	1	0	0	422 SW OAK ST		MAYO	32066
6293434	93	"13-05-11-0013-0210-00020"	197.39		2021	1	3	0	200 SW TAYLOR AVE		MAYO	32066
6293428	95	"13-05-11-0013-0200-00020"	169.37		2022	1	3	0	620 SW MARTIN LUTHER KING JR		MAYO	32066
6293437	95	"13-05-11-0013-0230-00040"	197.39		2021	1	2	0	362 SW WILLOW ST		MAYO	32066
6293440	97	"13-05-11-0013-0360-00000"	195.26		2021	1	3	0	359 SW WILLOW ST		MAYO	32066
6293458	97	"14-05-11-0000-0000-01606"	295.16		2020	1	1	0	618 SW CR 300		MAYO	32066
6293432	98	"13-05-11-0013-0210-00020"	169.37		2022	1	3	0	200 SW TAYLOR AVE		MAYO	32066
6293436	101	"13-05-11-0013-0230-00040"	73.88		2022	1	2	0	362 SW WILLOW ST		MAYO	32066
6293443	101	"13-05-11-0013-0400-00020"	197.39		2021	1	3	0	395 SW LAUREL ST		MAYO	32066
6293442	102	"13-05-11-0013-0360-00000"	169.37		2022	1	3	0	359 SW WILLOW ST		MAYO	32066
6293450	102	"13-05-11-0013-0400-00050"	193.12		2021	1	3	0	392 SW MARTIN LUTHER KING JR		MAYO	32066
6293452	104	"13-05-11-0013-0540-00020"	193.12		2021	1	1	0	361 SW MARTIN LUTHER KING JR		MAYO	32066
6293445	105	"13-05-11-0013-0400-00020"	169.37		2022	1	3	0	395 SW LAUREL ST		MAYO	32066
6293455	105	"13-05-11-0013-0560-00000"	193.12		2021	1	2	0	421 SW MARTIN LUTHER KING JR		MAYO	32066
6293448	106	"13-05-11-0013-0400-00050"	169.06		2022	1	3	0	392 SW MARTIN LUTHER KING JR		MAYO	32066
6293457	106	"13-05-11-0013-0560-00010"	198.01		2021	1	1	0	447 SW MARTIN LUTHER KING BLV		MAYO	32066
6293451	107	"13-05-11-0013-0540-00020"	169.37		2022	1	1	0	361 SW MARTIN LUTHER KING JR		MAYO	32066
6293454	109	"13-05-11-0013-0560-00000"	165.23		2022	1	2	0	421 SW MARTIN LUTHER KING JR		MAYO	32066
6293456	110	"13-05-11-0013-0560-00010"	169.37		2022	1	1	0	447 SW MARTIN LUTHER KING BLV		MAYO	32066
6293461	114	"14-05-11-0000-0000-05906"	111.66		2020	0	2	0	1194 SW CR 300		MAYO	32066
6293463	125	"14-05-11-0000-0000-05906"	110.79		2021	0	2	0	1194 SW CR 300		MAYO	32066
6293459	125	"14-05-11-0000-0000-01606"	250.81		2022	1	1	0	618 SW CR 300		MAYO	32066
6293460	135	"14-05-11-0000-0000-05401"	250.81		2022	1	0	0	142 SW RENEGADE LANE		MAYO	32066
6293462	137	"14-05-11-0000-0000-05906"	180.4		2022	0	2	0	1194 SW CR 300		MAYO	32066
6293468	144	"17-07-14-0000-0000-01502"	295.16		2020	1	3	0	821 SE CEPHAS LISTON ROAD		BRANFORD	32088
6293465	145	"16-05-11-0000-0000-00201"	238.78		2021	1	1	0	2717 SW CR 300		MAYO	32066
6293472	156	"19-06-14-0000-0000-00804"	295.16		2020	1	2	0	2293 SE CR 475		BRANFORD	32088
6293464	157	"15-05-12-0000-0000-00401"	216.61		2022	1	0	0	2407 E US HWY 27		MAYO	32066
6293470	164	"17-07-14-0000-0000-01502"	250.84		2021	1	3	0	821 SE CEPHAS LISTON ROAD		BRANFORD	32088
6293466	174	"17-05-12-0024-00A0-00131"	216.61		2022	1	0	0	138 NE SANDSPUR LANE		MAYO	32066
6293467	175	"17-05-12-0024-00B0-00242"	216.61		2022	1	0	0	503 E US 27		MAYO	32066
6293491	178	"24-04-10-0000-0000-00504"	2.9		2020	1	0	0	288 SW EDISON RD		MAYO	32066
6293469	181	"17-07-14-0000-0000-01502"	250.81		2022	1	3	0	821 SE CEPHAS LISTON ROAD		BRANFORD	32088
6293471	183	"18-03-11-0076-0000-00081"	250.81		2022	1	0	0	8327 NW CR 251		MAYO	32066
6293475	184	"20-04-11-0000-0000-00504"	250.84		2021	1	1	0	361 NW MADISON RD		MAYO	32066
6293495	188	"26-03-10-0000-0000-01001"	264.24		2020	1	1	0	272 NW SUMTER AVE		MAYO	32066
6293497	190	"26-03-10-0000-0000-01010"	295.16		2020	0	3	0	1730 NW GULFWIND RD		MAYO	32066
6293499	193	"26-03-10-0003-0120-00000"	295.16		2020	1	3	0	4349 N CR 53		MAYO	32066
6293473	196	"19-06-14-0000-0000-00804"	250.81		2022	1	2	0	2293 SE CR 475		BRANFORD	32088
6293474	199	"19-06-14-MINR-0000-00600"	94		2022	0	1	0				     
6293476	200	"20-04-11-0000-0000-00504"	250.81		2022	1	1	0	361 NW MADISON RD		MAYO	32066
6293477	205	"20-07-14-MINR-0000-00500"	180.55		2022	0	1	0				     
6293478	214	"21-04-11-MINR-0000-00100"	38.07		2022	0	1	0				     
6293513	215	"31-05-13-0000-0000-00103"	295.16		2020	1	2	0	305 SE ORIOLE RD		MAYO	32066
6293479	219	"21-07-14-MINR-0000-01202"	38.18		2022	0	1	0				     
6293480	220	"21-07-14-MINR-0000-01203"	38.19		2022	0	1	0				     
6293481	221	"23-03-10-MINR-0000-00100"	64.17		2022	0	1	0				     
6293482	222	"23-03-10-MINR-0000-00400"	54.64		2022	0	1	0	N CR 53			32066
6293483	223	"23-03-10-MINR-0000-00500"	135.34		2022	0	1	0				     
6293484	224	"23-03-10-MINR-0000-00600"	43.96		2022	0	0	0				     
6293485	225	"23-03-10-MINR-0000-00700"	56.14		2022	0	1	0				     
6293486	226	"23-03-10-MINR-0000-00800"	50.65		2022	0	1	0				     
6293487	227	"23-03-10-MINR-0000-00900"	49.45		2022	0	1	0				     
6293488	228	"23-03-10-MINR-0000-01000"	88.91		2022	0	0	0				     
6293489	229	"23-03-10-MINR-0000-01400"	39.74		2022	0	1	0				     
6293490	230	"23-03-10-MINR-0000-01500"	49.38		2022	0	1	0				     
6293496	234	"26-03-10-0000-0000-01010"	250.84		2021	0	3	0	1730 NW GULFWIND RD		MAYO	32066
6293498	238	"26-03-10-0003-0120-00000"	250.84		2021	1	3	0	4349 N CR 53		MAYO	32066
6293501	239	"26-03-10-0003-0121-00000"	250.84		2021	1	1	0	4327 N CR 53		MAYO	32066
6293530	246	"36-04-11-0069-0000-00380"	228.49		2020	1	2	0	288 NE HOLLYWOOD BLVD		MAYO	32066
6293504	247	"27-03-10-0000-0000-00200"	250.84		2021	1	1	0	919 NW SUMTER AVE		MAYO	32066
