Ra_ItemID	CertNum	Parcel	FaceValue	Bid	Tax Year	IsHomestead	Tax Years Unpaid	Bankruptcy_Flag	Property_Address_1	Property_Address_2	Property_City	Property_Zip
6284644	266	"232703-000000-043140"	70.87		2022	0	7	0	SELPH RD		LAKELAND	33810
6284646	282	"232708-000000-021060"	52.57		2022	0	4	0	KATHLEEN RD		LAKELAND	33810
6284647	313	"232712-000000-023120"	47.04		2022	0	0	0	WILDER RD		LAKELAND	33809
6284648	318	"232712-000000-032290"	50.09		2022	0	7	0	SOCRUM LOOP RD W		LAKELAND	33809
6284649	330	"232713-000000-022370"	67.02		2022	0	7	0	SOCRUM LOOP RD N		LAKELAND	33809
6284650	408	"232718-000997-001100"	819.02		2022	0	1	0	5363 MEADOW GROVE TRL		LAKELAND	33810
6284651	469	"232721-005500-000040"	347.48		2022	0	2	0	KATHLEEN RD		LAKELAND	33810
6284652	513	"232725-009210-002030"	56.16		2022	1	0	0	928 ELIZABETH LN		LAKELAND	33809
6284653	517	"232726-000000-021340"	129.75		2022	1	0	0	1401 BAKER DR		LAKELAND	33810
6284654	528	"232726-010000-005005"	219.7		2022	0	0	0	5012 CORNELL ST		LAKELAND	33810
6284656	607	"232731-011500-001006"	3342.24		2022	0	2	0	3805 GLEN OAK DR N		LAKELAND	33810
6284655	643	"232726-010011-007050"	226.23		2021	1	1	0	4969 DEERWOOD DR		LAKELAND	33810
6284657	665	"232735-000000-012130"	308.82		2022	0	6	0	US HIGHWAY 98 N		LAKELAND	33810
6284658	670	"232735-013502-007040"	83.02		2022	0	1	0	3886 HAMPSTEAD LN		LAKELAND	33810
6284659	676	"232736-000000-013030"	59.88		2022	0	2	0	WEDGEWOOD ESTATES BLVD		LAKELAND	33809
6284660	708	"232736-016000-001040"	402.42		2022	0	1	0	730 CREVASSE ST		LAKELAND	33805
6284661	710	"232736-016000-003012"	300.34		2022	0	1	0	3417 LYNN DR		LAKELAND	33805
6284662	725	"232736-016026-000790"	244.94		2022	0	1	0	222 CARPENTERS WAY #79		LAKELAND	33805
6284663	728	"232801-000000-021170"	108.72		2022	0	1	0	TUCKER ST		LAKELAND	33805
6284664	742	"232801-018310-000060"	198.92		2022	1	0	0	452 KALT DR		LAKELAND	33805
6284665	747	"232802-019000-001423"	104.73		2022	0	0	0	2004 MARGARET ST		LAKELAND	33805
6284666	750	"232802-019000-003180"	496.16		2022	0	7	0	ELLIOTT ST W		LAKELAND	33805
6284668	751	"232802-019000-003190"	586.2		2022	0	7	0	ELLIOTT ST W		LAKELAND	33805
6284671	756	"232802-020501-000022"	130.62		2022	0	6	0	ROBERT KING HIGH DR		LAKELAND	33805
6284672	762	"232803-000000-041190"	52.74		2022	0	0	0	GEORGE WHEELER RD		LAKELAND	33810
6284673	771	"232804-000000-011018"	46.23		2022	0	1	0	GALLOWAY RD		LAKELAND	33810
6284674	772	"232804-000000-012016"	51.34		2022	0	0	0	GALLOWAY RD N		LAKELAND	33810
6284675	810	"232808-024500-000110"	55.12		2022	0	0	0	BELLA VISTA ST W		LAKELAND	33810
6284676	822	"232809-000000-023310"	319.36		2022	0	3	0	1290 ALBURY LN		LAKELAND	33810
6284677	855	"232811-000000-021130"	196.02		2022	0	1	0	PROVIDENCE RD		LAKELAND	33805
6284678	859	"232811-000000-042030"	88.23		2022	0	7	0	SWINDELL AVE N		LAKELAND	33805
6284679	862	"232811-026700-000052"	61.52		2022	0	0	0	LAVON ST		LAKELAND	33805
6284680	863	"232811-026700-000110"	214.84		2022	1	0	0	1704 COMPSON PL		LAKELAND	33805
6284681	864	"232811-026700-000120"	254.97		2022	0	1	0	1706 COMPSON PL		LAKELAND	33805
6284682	871	"232811-029500-002032"	65.36		2022	0	0	0	LAVON ST		LAKELAND	33805
6284683	896	"232811-032000-004050"	367.6		2022	0	0	0	1422 KATHLEEN RD		LAKELAND	33805
6284684	934	"232811-035000-000051"	181.05		2022	0	4	0	1447 MONTROSE AVE		LAKELAND	33805
6284685	936	"232811-035000-000571"	257.04		2022	1	1	0	1441 ARLINGTON RD		LAKELAND	33805
6284687	938	"232811-035000-000811"	71.7		2022	0	1	0	ARLINGTON RD		LAKELAND	33805
6284688	960	"232812-037000-003040"	180.86		2022	0	3	0	8TH ST W		LAKELAND	33805
6284689	978	"232812-038000-002020"	170.92		2022	0	7	0	1508 N LINCOLN AVE		LAKELAND	33805
6284693	981	"232812-038000-003010"	182.64		2022	0	7	0	LINCOLN AVE		LAKELAND	33803
6284700	986	"232812-038000-006010"	62.4		2022	0	7	0	HARMONY HILLS LOOP		LAKELAND	33805
6284701	994	"232812-040000-004090"	117.84		2022	0	7	0	THOMAS ST W		LAKELAND	33805
6284706	1000	"232812-040000-005260"	439.23		2022	0	7	0	641 14TH ST W		LAKELAND	33805
6284710	1001	"232812-040000-006060"	439.23		2022	0	7	0	14TH ST W		LAKELAND	33805
6284716	1003	"232812-040000-006230"	116.23		2022	0	7	0	653 13TH ST W		LAKELAND	33805
6284717	1005	"232812-040000-006300"	806.43		2022	0	7	0	1518 KETTLES AVE		LAKELAND	33805
6284669	1019	"232802-019000-003190"	3819.18		2018	0	7	0	ELLIOTT ST W		LAKELAND	33805
6284721	1024	"232812-040500-004021"	210.18		2022	1	0	0	1443 N CARVER AVE		LAKELAND	33805
6284667	1038	"232802-019000-003190"	2175.16		2017	0	7	0	ELLIOTT ST W		LAKELAND	33805
6284670	1042	"232802-020501-000022"	237.45		2017	0	6	0	ROBERT KING HIGH DR		LAKELAND	33805
6284724	1060	"232812-045500-002171"	124.04		2022	1	0	0	1118 14TH ST W		LAKELAND	33805
6284725	1077	"232812-046000-004060"	93.51		2022	1	0	0	1124 10TH ST W		LAKELAND	33805
6284726	1080	"232812-046000-005061"	241.22		2022	0	0	0	1124 W 9TH ST		LAKELAND	33805
6284705	1085	"232812-040000-005260"	2086.13		2020	0	7	0	641 14TH ST W		LAKELAND	33805
