Ra_ItemID	CertNum	Parcel	FaceValue	Bid	Tax Year	IsHomestead	Tax Years Unpaid	Bankruptcy_Flag	Property_Address_1	Property_Address_2	Property_City	Property_Zip
6329165	3	"00058002000"	192.73		2018	0	0	0				     
6329167	3	"00058002000"	233.65		2016	0	0	0				     
6329166	4	"00058002000"	212.52		2017	0	0	0				     
6330186	10	"00131005000"	172.69		2017	0	0	0				     
6330185	15	"00131005000"	174.13		2018	0	0	0				     
6330188	22	"00131005000"	156.33		2022	0	0	0				     
6330358	23	"00178002001"	61.8		2021	0	0	0				     
6330400	24	"00181002001"	69.86		2021	0	0	0				     
6330588	28	"00217001004"	62.85		2021	0	0	0				     
6330192	30	"00363000001"	75.65		2017	0	0	0				     
6330193	39	"00363000001"	82.13		2016	0	0	0				     
6331389	39	"00264003001"	60.55		2021	0	0	0				     
6329183	40	"00312002001"	64.04		2021	0	0	0				     
6330191	42	"00363000001"	69.34		2018	0	0	0				     
6330195	43	"00363000001"	63.8		2020	0	0	0				     
6330197	45	"00363000001"	50.34		2022	0	0	0				     
6330196	45	"00363000001"	57.63		2021	0	0	0				     
6330229	46	"00373000000"	113.45		2022	0	0	0				     
6330233	49	"00477000000"	128.51		2017	0	0	0				     
6330230	51	"00399000000"	102.7		2022	0	0	0				     
6330231	54	"00436000000"	679.54		2018	0	0	0	223 FIRST AVE		WELLBORN	32094
6330236	59	"00477000000"	93.82		2021	0	0	0				     
6330240	60	"00525200021"	149.71		2016	0	0	0				     
6330235	60	"00477000000"	111.93		2020	0	0	0				     
6328698	60	"11263000001"	27.61		2019	0	3	0				     
6330239	61	"00525200021"	137.11		2017	0	0	0				     
6330232	61	"00436000000"	587.18		2022	0	0	0	223 FIRST AVE		WELLBORN	32094
6330237	67	"00477000000"	84.25		2022	0	0	0				     
6330598	69	"00581000110"	155.83		2016	0	0	0				     
6330242	69	"00525200021"	125.49		2020	0	0	0				     
6330243	69	"00525200021"	125.91		2021	0	0	0				     
6330238	70	"00525200021"	134.79		2018	0	0	0				     
6330597	74	"00581000110"	142.58		2017	0	0	0				     
6330610	74	"00590000430"	214.79		2016	0	0	0				     
6330603	75	"00589000410"	142.58		2017	0	0	0				     
6330609	77	"00590000430"	195.57		2017	0	0	0				     
6330244	79	"00525200021"	120.29		2022	0	0	0				     
6330596	80	"00581000110"	129.92		2018	0	0	0				     
6330602	81	"00589000410"	129.92		2018	0	0	0				     
6330608	83	"00590000430"	177.52		2018	0	0	0				     
6330614	84	"00591000510"	129.92		2018	0	0	0				     
6330606	84	"00589000410"	116.39		2021	0	0	0				     
6331199	84	"00639002000"	70.64		2016	0	0	0				     
6331201	85	"00639003000"	72.54		2017	0	0	0				     
6331202	85	"00639003000"	78.65		2016	0	0	0				     
6331208	86	"00639004001"	98.7		2017	0	0	0				     
6330600	87	"00581000110"	119.22		2020	0	0	0				     
6330617	87	"00591000510"	116.39		2021	0	0	0				     
6330605	88	"00589000410"	119.22		2020	0	0	0				     
